country,year,Both sexes,Female,Male,gender_parity_in_tertiary_education
Spain,2008-2009,1800834,974439,826395,1.2
Spain,2009-2010,1878973,1013325,865648,1.2
Spain,2010-2011,1950482,1050922,899560,1.2
Spain,2011-2012,1965829,1053942,911887,1.2
Spain,2012-2013,1969413,1054579,914834,1.2
Spain,2013-2014,1982162,1057361,924801,1.1
Spain,2014-2015,1963924,1043704,920220,1.1
Spain,2015-2016,1968702,1048608,920094,1.1
Spain,2016-2017,2010183,1071776,938407,1.1
Spain,2017-2018,NA,NA,NA,NA
Sweden,1990-1991,NA,NA,NA,NA
Sweden,1995-1996,NA,NA,NA,NA
Sweden,2000-2001,358020,211468,146552,1.4
Sweden,2001-2002,382851,227682,155169,1.5
Sweden,2002-2003,414657,247091,167566,1.5
Sweden,2003-2004,428642,255123,173519,1.5
Sweden,2004-2005,426723,254325,172398,1.5
Sweden,2005-2006,422614,251782,170832,1.5
Sweden,2006-2007,413710,247894,165816,1.5
Sweden,2007-2008,406879,245309,161570,1.5
Sweden,2008-2009,422580,254120,168460,1.5
Sweden,2009-2010,455025,270289,184736,1.5
Sweden,2010-2011,463530,273969,189561,1.4
Sweden,2011-2012,453328,270702,182626,1.5
Sweden,2012-2013,436603,260611,175992,1.5
Sweden,2013-2014,429444,255164,174280,1.5
Sweden,2014-2015,439815,253700,186115,1.4
Sweden,2015-2016,426188,253070,173118,1.5
Sweden,2016-2017,426354,253884,172470,1.5
Sweden,2017-2018,NA,NA,NA,NA
Switzerland,1990-1991,137486,47647,89839,0.53
Switzerland,1995-1996,148024,55746,92278,0.6
Switzerland,2000-2001,163373,69747,93626,0.74
Switzerland,2001-2002,170085,73589,96496,0.76
Switzerland,2002-2003,185965,82258,103707,0.79
Switzerland,2003-2004,195947,88067,107880,0.82
Switzerland,2004-2005,199696,91945,107751,0.85
Switzerland,2005-2006,204999,96239,108760,0.88
Switzerland,2006-2007,213112,101409,111703,0.91
Switzerland,2007-2008,224469,110596,113873,0.97
Switzerland,2008-2009,233488,115953,117535,0.99
Switzerland,2009-2010,248639,122359,126280,0.97
Switzerland,2010-2011,257696,126914,130782,0.97
Switzerland,2011-2012,269573,132873,136700,0.97
Switzerland,2012-2013,279619,138434,141185,0.98
Switzerland,2013-2014,289722,143526,146196,0.98
Switzerland,2014-2015,294450,146643,147807,0.99
Switzerland,2015-2016,295149,146395,148754,0.98
Switzerland,2016-2017,300618,149455,151163,0.99
Switzerland,2017-2018,NA,NA,NA,NA
Tajikistan,1990-1991,NA,NA,NA,NA
Tajikistan,1995-1996,NA,NA,NA,NA
Tajikistan,2000-2001,78540,18742,59798,0.31
Tajikistan,2001-2002,85171,20854,64317,0.32
Tajikistan,2002-2003,97466,24348,73118,0.33
Tajikistan,2003-2004,108456,26924,81532,0.33
Tajikistan,2004-2005,119317,30947,88370,0.35
Tajikistan,2005-2006,133385,35775,97610,0.37
Tajikistan,2006-2007,147271,40423,106848,0.38
Tajikistan,2007-2008,155438,43870,111568,0.39
Tajikistan,2008-2009,157478,45735,111743,0.41
Tajikistan,2009-2010,159137,46260,112877,0.41
Tajikistan,2010-2011,153286,44283,109003,0.41
Tajikistan,2011-2012,194137,65856,128281,0.51
Tajikistan,2012-2013,194685,68872,125813,0.55
Tajikistan,2013-2014,209170,77536,131634,0.59
Tajikistan,2014-2015,224764,88422,136342,0.65
Tajikistan,2015-2016,NA,NA,NA,NA
Tajikistan,2016-2017,NA,NA,NA,NA
Tajikistan,2017-2018,NA,NA,NA,NA
Turkey,1990-1991,NA,NA,NA,NA
Turkey,1995-1996,NA,NA,NA,NA
Turkey,2000-2001,1091805,441831,649974,0.68
Turkey,2001-2002,1155686,474049,681637,0.7
Turkey,2002-2003,1256629,507414,749215,0.68
Turkey,2003-2004,1972662,816602,1156060,0.71
Turkey,2004-2005,2106351,881919,1224432,0.72
Turkey,2005-2006,2342898,992235,1350663,0.73
Turkey,2006-2007,2453664,1044539,1409125,0.74
Turkey,2007-2008,2532622,1090900,1441722,0.76
Turkey,2008-2009,2924281,1274618,1649663,0.77
Turkey,2009-2010,3529334,1566701,1962633,0.8
Turkey,2010-2011,3817086,1723602,2093484,0.82
Turkey,2011-2012,4353542,1978343,2375199,0.83
Turkey,2012-2013,4975690,2268753,2706937,0.84
Turkey,2013-2014,5472521,2508079,2964442,0.85
Turkey,2014-2015,6062886,2786228,3276658,0.85
Turkey,2015-2016,6689185,3067668,3621517,0.85
Turkey,2016-2017,7198987,3312880,3886107,0.85
Turkey,2017-2018,NA,NA,NA,NA
Turkmenistan,1990-1991,NA,NA,NA,NA
Turkmenistan,1995-1996,NA,NA,NA,NA
Turkmenistan,2000-2001,NA,NA,NA,NA
Turkmenistan,2001-2002,NA,NA,NA,NA
Turkmenistan,2002-2003,NA,NA,NA,NA
Turkmenistan,2003-2004,NA,NA,NA,NA
Turkmenistan,2004-2005,NA,NA,NA,NA
Turkmenistan,2005-2006,NA,NA,NA,NA
Turkmenistan,2006-2007,NA,NA,NA,NA
Turkmenistan,2007-2008,NA,NA,NA,NA
Turkmenistan,2008-2009,NA,NA,NA,NA
Turkmenistan,2009-2010,NA,NA,NA,NA
Turkmenistan,2010-2011,NA,NA,NA,NA
Turkmenistan,2011-2012,NA,NA,NA,NA
Turkmenistan,2012-2013,NA,NA,NA,NA
Turkmenistan,2013-2014,44411,17112,27299,0.63
Turkmenistan,2014-2015,NA,NA,NA,NA
Turkmenistan,2015-2016,NA,NA,NA,NA
Turkmenistan,2016-2017,NA,NA,NA,NA
Turkmenistan,2017-2018,NA,NA,NA,NA
Ukraine,1990-1991,NA,NA,NA,NA
Ukraine,1995-1996,NA,NA,NA,NA
Ukraine,2000-2001,1950755,NA,NA,NA
Ukraine,2001-2002,2134676,NA,NA,NA
Ukraine,2002-2003,2296221,1235249,1060972,1.2
Ukraine,2003-2004,2465074,1311963,1153111,1.1
Ukraine,2004-2005,2604875,1393427,1211448,1.2
Ukraine,2005-2006,2740342,1467292,1273050,1.2
Ukraine,2006-2007,2819248,1512694,1306554,1.2
Ukraine,2007-2008,2847713,1530697,1317016,1.2
Ukraine,2008-2009,2798693,1513454,1285239,1.2
Ukraine,2009-2010,2635004,1415159,1219845,1.2
Ukraine,2010-2011,2566279,1359142,1207137,1.1
Ukraine,2011-2012,2390989,1249834,1141155,1.1
Ukraine,2012-2013,2205595,1172416,1033179,1.1
Ukraine,2013-2014,2146028,1123819,1022209,1.1
Ukraine,2014-2015,1776190,930197,845993,1.1
Ukraine,2015-2016,NA,NA,NA,NA
Ukraine,2016-2017,NA,NA,NA,NA
Ukraine,2017-2018,1615290,834266,781024,1.1
United Kingdom,1990-1991,NA,NA,NA,NA
United Kingdom,1995-1996,1820849,919116,901733,1
United Kingdom,2000-2001,2067349,1127606,939743,1.2
United Kingdom,2001-2002,2240680,1237795,1002885,1.2
United Kingdom,2002-2003,2287833,1278980,1008853,1.3
United Kingdom,2003-2004,2247441,1282015,965426,1.3
United Kingdom,2004-2005,2287541,1308362,979179,1.3
United Kingdom,2005-2006,2336108,1339172,996936,1.3
United Kingdom,2006-2007,2362813,1352421,1010392,1.3
United Kingdom,2007-2008,2329494,1333039,996455,1.3
United Kingdom,2008-2009,2415223,1376060,1039163,1.3
United Kingdom,2009-2010,2479199,1402353,1076847,1.3
United Kingdom,2010-2011,2492284,1404452,1087832,1.3
United Kingdom,2011-2012,2495780,1404400,1091379,1.3
United Kingdom,2012-2013,2386199,1338154,1048045,1.3
United Kingdom,2013-2014,2352933,1316708,1036225,1.3
United Kingdom,2014-2015,2330334,1308441,1021894,1.3
United Kingdom,2015-2016,2387280,1346268,1041012,1.3
United Kingdom,2016-2017,2431886,1378588,1053298,1.3
United Kingdom,2017-2018,NA,NA,NA,NA
Uzbekistan,1990-1991,NA,NA,NA,NA
Uzbekistan,1995-1996,NA,NA,NA,NA
Uzbekistan,2000-2001,323211,143342,179869,0.8
Uzbekistan,2001-2002,344604,152013,192591,0.79
Uzbekistan,2002-2003,359708,155446,204262,0.76
Uzbekistan,2003-2004,376904,164231,212673,0.77
Uzbekistan,2004-2005,265957,108374,157583,0.69
Uzbekistan,2005-2006,280837,114815,166022,0.69
Uzbekistan,2006-2007,288550,118162,170388,0.69
Uzbekistan,2007-2008,299010,119212,179798,0.66
Uzbekistan,2008-2009,300782,121707,179075,0.68
Uzbekistan,2009-2010,289208,115692,173516,0.67
Uzbekistan,2010-2011,277437,106954,170483,0.63
Uzbekistan,2011-2012,255932,93887,162045,0.58
Uzbekistan,2012-2013,259592,94680,164912,0.57
Uzbekistan,2013-2014,260453,97073,163380,0.59
Uzbekistan,2014-2015,262368,98437,163931,0.6
Uzbekistan,2015-2016,265680,101331,164349,0.62
Uzbekistan,2016-2017,268281,102457,165824,0.62
Uzbekistan,2017-2018,297689,119180,178509,0.67
