iso3,country,emmigrants,year,time_period,indicator
BGR,Bulgaria,29470,2015,NA,Number of emigrants - Number
BLR,Belarus,9855,2015,NA,Number of emigrants - Number
CZE,Czech Republic,18945,2015,NA,Number of emigrants - Number
EST,Estonia,13003,2015,NA,Number of emigrants - Number
HRV,Croatia,29651,2015,NA,Number of emigrants - Number
HUN,Hungary,10373,2015,NA,Number of emigrants - Number
LTU,Lithuania,44533,2015,NA,Number of emigrants - Number
LVA,Latvia,20119,2015,NA,Number of emigrants - Number
MDA,Republic of Moldova,2236,2015,NA,Number of emigrants - Number
MKD,The Former Yugoslav Republic of Macedonia,1016,2015,NA,Number of emigrants - Number
POL,Poland,62601,2015,NA,Number of emigrants - Number
ROU,Romania,194718,2015,NA,Number of emigrants - Number
RUS,Russian Federation,353233,2015,NA,Number of emigrants - Number
SVK,Slovakia,3870,2015,NA,Number of emigrants - Number
SVN,Slovenia,14913,2015,NA,Number of emigrants - Number
UKR,Ukraine,21409,2015,NA,Number of emigrants - Number
AZE,Azerbaijan,1711,2016,2016,Number of emigrants - Number
GEO,Georgia,98288,2016,NA,Number of emigrants - Number
KAZ,Kazakhstan,34900,2016,NA,Number of emigrants - Number
KGZ,Kyrgyzstan,7125,2016,NA,Number of emigrants - Number
TJK,Tajikistan,2757,2016,NA,Number of emigrants - Number
UZB,Uzbekistan,28069,2016,NA,Number of emigrants - Number
ALB,Albania,32532,2016,NA,Number of emigrants - Number
BGR,Bulgaria,30570,2016,NA,Number of emigrants - Number
BLR,Belarus,13098,2016,NA,Number of emigrants - Number
CZE,Czech Republic,17439,2016,NA,Number of emigrants - Number
EST,Estonia,13792,2016,NA,Number of emigrants - Number
HRV,Croatia,36436,2016,NA,Number of emigrants - Number
HUN,Hungary,10464,2016,NA,Number of emigrants - Number
LTU,Lithuania,50333,2016,NA,Number of emigrants - Number
LVA,Latvia,20574,2016,NA,Number of emigrants - Number
MDA,Republic of Moldova,2507,2016,NA,Number of emigrants - Number
MKD,The Former Yugoslav Republic of Macedonia,630,2016,NA,Number of emigrants - Number
POL,Poland,44466,2016,NA,Number of emigrants - Number
ROU,Romania,209456,2016,NA,Number of emigrants - Number
RUS,Russian Federation,313210,2016,NA,Number of emigrants - Number
SVK,Slovakia,3801,2016,NA,Number of emigrants - Number
SVN,Slovenia,15572,2016,NA,Number of emigrants - Number
