iso3,country,emmigrants,year,time_period,indicator
KGZ,Kyrgyzstan,17818,1999,NA,Number of emigrants - Number
TJK,Tajikistan,14686,1999,NA,Number of emigrants - Number
TKM,Turkmenistan,13158,1999,NA,Number of emigrants - Number
UZB,Uzbekistan,60249,1999,NA,Number of emigrants - Number
BLR,Belarus,13238,1999,NA,Number of emigrants - Number
CZE,Czech Republic,1136,1999,NA,Number of emigrants - Number
HRV,Croatia,14285,1999,NA,Number of emigrants - Number
HUN,Hungary,2821,1999,NA,Number of emigrants - Number
LTU,Lithuania,23418,1999,NA,Number of emigrants - Number
LVA,Latvia,5898,1999,NA,Number of emigrants - Number
MDA,Republic of Moldova,6318,1999,NA,Number of emigrants - Number
MKD,The Former Yugoslav Republic of Macedonia,141,1999,NA,Number of emigrants - Number
POL,Poland,21536,1999,NA,Number of emigrants - Number
ROU,Romania,12594,1999,NA,Number of emigrants - Number
RUS,Russian Federation,214963,1999,NA,Number of emigrants - Number
SVK,Slovakia,618,1999,NA,Number of emigrants - Number
SVN,Slovenia,2606,1999,NA,Number of emigrants - Number
UKR,Ukraine,110600,1999,NA,Number of emigrants - Number
ARM,Armenia,12813,2000,2000,Number of emigrants - Number
AZE,Azerbaijan,9947,2000,NA,Number of emigrants - Number
KAZ,Kazakhstan,155749,2000,NA,Number of emigrants - Number
KGZ,Kyrgyzstan,27887,2000,NA,Number of emigrants - Number
TJK,Tajikistan,14554,2000,NA,Number of emigrants - Number
TKM,Turkmenistan,10671,2000,NA,Number of emigrants - Number
UZB,Uzbekistan,62545,2000,NA,Number of emigrants - Number
BLR,Belarus,13812,2000,NA,Number of emigrants - Number
CZE,Czech Republic,1263,2000,NA,Number of emigrants - Number
EST,Estonia,1784,2000,NA,Number of emigrants - Number
HRV,Croatia,5953,2000,NA,Number of emigrants - Number
HUN,Hungary,2208,2000,NA,Number of emigrants - Number
LTU,Lithuania,21816,2000,NA,Number of emigrants - Number
LVA,Latvia,22911,2000,NA,Number of emigrants - Number
MDA,Republic of Moldova,9128,2000,NA,Number of emigrants - Number
