iso3,country,emigrants,year,time_period
HRV,Croatia,7488,2001,NA
HUN,Hungary,1944,2001,NA
LTU,Lithuania,7253,2001,NA
LVA,Latvia,24539,2001,NA
MDA,Republic of Moldova,6446,2001,NA
MKD,The Former Yugoslav Republic of Macedonia,503,2001,NA
POL,Poland,23368,2001,NA
ROU,Romania,9921,2001,NA
RUS,Russian Federation,121166,2001,NA
SVK,Slovakia,1011,2001,NA
SVN,Slovenia,4811,2001,NA
UKR,Ukraine,88800,2001,NA
ARM,Armenia,10927,2002,2002
AZE,Azerbaijan,4320,2002,NA
KAZ,Kazakhstan,120223,2002,NA
KGZ,Kyrgyzstan,32717,2002,NA
TJK,Tajikistan,12000,2002,NA
TKM,Turkmenistan,9048,2002,NA
UZB,Uzbekistan,86558,2002,NA
BLR,Belarus,13378,2002,NA
CZE,Czech Republic,32389,2002,NA
EST,Estonia,2038,2002,NA
HRV,Croatia,11767,2002,NA
HUN,Hungary,2388,2002,NA
LTU,Lithuania,7086,2002,NA
LVA,Latvia,15837,2002,NA
MDA,Republic of Moldova,6592,2002,NA
MKD,The Former Yugoslav Republic of Macedonia,141,2002,NA
POL,Poland,24532,2002,NA
ROU,Romania,8154,2002,NA
RUS,Russian Federation,106685,2002,NA
SVK,Slovakia,1411,2002,NA
SVN,Slovenia,7269,2002,NA
UKR,Ukraine,76264,2002,NA
ARM,Armenia,9548,2003,2003
AZE,Azerbaijan,3754,2003,NA
KAZ,Kazakhstan,73890,2003,NA
KGZ,Kyrgyzstan,21209,2003,NA
TJK,Tajikistan,10187,2003,NA
TKM,Turkmenistan,16096,2003,NA
UZB,Uzbekistan,95228,2003,NA
BLR,Belarus,12986,2003,NA
CZE,Czech Republic,34226,2003,NA
EST,Estonia,3073,2003,NA
HRV,Croatia,6534,2003,NA
HUN,Hungary,2553,2003,NA
LTU,Lithuania,11032,2003,NA
LVA,Latvia,15647,2003,NA
MDA,Republic of Moldova,7376,2003,NA
MKD,The Former Yugoslav Republic of Macedonia,144,2003,NA
POL,Poland,20813,2003,NA
ROU,Romania,143977,2003,NA
RUS,Russian Federation,94018,2003,NA
SVK,Slovakia,1194,2003,NA
SVN,Slovenia,5867,2003,NA
UKR,Ukraine,63699,2003,NA
ARM,Armenia,9227,2004,2004
AZE,Azerbaijan,2800,2004,NA
