iso3,country,year,education_classification,labor force (thousands)
ARM,Armenia,2017,Education (Aggregate levels): Advanced,364.7945
ARM,Armenia,2007,Education (Aggregate levels): Total,1317.8007
ARM,Armenia,2007,Education (Aggregate levels): Less than basic,4.5613
ARM,Armenia,2007,Education (Aggregate levels): Basic,30.4875
ARM,Armenia,2007,Education (Aggregate levels): Intermediate,636.37
ARM,Armenia,2007,Education (Aggregate levels): Advanced,371.6837
ARM,Armenia,2007,Education (Aggregate levels): Level not stated,274.6982
ARM,Armenia,2008,Education (Aggregate levels): Total,1414.637
ARM,Armenia,2008,Education (Aggregate levels): Less than basic,4.3505
ARM,Armenia,2008,Education (Aggregate levels): Basic,124.8058
ARM,Armenia,2008,Education (Aggregate levels): Intermediate,965.4419
ARM,Armenia,2008,Education (Aggregate levels): Advanced,320.0388
ARM,Armenia,2009,Education (Aggregate levels): Total,1413.4203
ARM,Armenia,2009,Education (Aggregate levels): Less than basic,5.0024
ARM,Armenia,2009,Education (Aggregate levels): Basic,118.4992
ARM,Armenia,2009,Education (Aggregate levels): Intermediate,956.1022
ARM,Armenia,2009,Education (Aggregate levels): Advanced,333.8165
ARM,Armenia,2010,Education (Aggregate levels): Total,1463.3416
ARM,Armenia,2010,Education (Aggregate levels): Less than basic,2.8789
ARM,Armenia,2010,Education (Aggregate levels): Basic,117.0827
ARM,Armenia,2010,Education (Aggregate levels): Intermediate,994.5304
ARM,Armenia,2010,Education (Aggregate levels): Advanced,348.8497
ARM,Armenia,2011,Education (Aggregate levels): Total,1440.8671
ARM,Armenia,2011,Education (Aggregate levels): Less than basic,1.4876
ARM,Armenia,2011,Education (Aggregate levels): Basic,110.92
ARM,Armenia,2011,Education (Aggregate levels): Intermediate,948.996
ARM,Armenia,2011,Education (Aggregate levels): Advanced,379.4635
ARM,Armenia,2012,Education (Aggregate levels): Total,1419.0969
ARM,Armenia,2012,Education (Aggregate levels): Less than basic,2.6804
ARM,Armenia,2012,Education (Aggregate levels): Basic,104.1862
ARM,Armenia,2012,Education (Aggregate levels): Intermediate,943.3615
ARM,Armenia,2012,Education (Aggregate levels): Advanced,368.8689
ARM,Armenia,2013,Education (Aggregate levels): Total,1388.2255
ARM,Armenia,2013,Education (Aggregate levels): Less than basic,1.037
ARM,Armenia,2013,Education (Aggregate levels): Basic,91.1834
ARM,Armenia,2013,Education (Aggregate levels): Intermediate,915.3726
ARM,Armenia,2013,Education (Aggregate levels): Advanced,380.6325
ARM,Armenia,2014,Education (Aggregate levels): Total,1396.9792
ARM,Armenia,2014,Education (Aggregate levels): Less than basic,2.2431
ARM,Armenia,2014,Education (Aggregate levels): Basic,88.0796
ARM,Armenia,2014,Education (Aggregate levels): Intermediate,913.1883
ARM,Armenia,2014,Education (Aggregate levels): Advanced,393.4681
ARM,Armenia,2015,Education (Aggregate levels): Total,1371.5325
ARM,Armenia,2015,Education (Aggregate levels): Less than basic,2.7054
ARM,Armenia,2015,Education (Aggregate levels): Basic,87.324
ARM,Armenia,2015,Education (Aggregate levels): Intermediate,929.9499
ARM,Armenia,2015,Education (Aggregate levels): Advanced,351.5532
ARM,Armenia,2016,Education (Aggregate levels): Total,1383.1345
ARM,Armenia,2016,Education (Aggregate levels): Less than basic,0.9594
ARM,Armenia,2016,Education (Aggregate levels): Basic,68.7841
ARM,Armenia,2016,Education (Aggregate levels): Intermediate,950.0433
ARM,Armenia,2016,Education (Aggregate levels): Advanced,363.3477
AUT,Austria,1995,Education (Aggregate levels): Total,3833.8
AUT,Austria,1995,Education (Aggregate levels): Basic,1037
AUT,Austria,1995,Education (Aggregate levels): Intermediate,2468.3
AUT,Austria,1995,Education (Aggregate levels): Advanced,328.4
AUT,Austria,1996,Education (Aggregate levels): Total,3811.7
AUT,Austria,1996,Education (Aggregate levels): Basic,951.1
AUT,Austria,1996,Education (Aggregate levels): Intermediate,2530.5
AUT,Austria,1996,Education (Aggregate levels): Advanced,330.1
AUT,Austria,1997,Education (Aggregate levels): Total,3797.3
AUT,Austria,1997,Education (Aggregate levels): Basic,873.7
AUT,Austria,1997,Education (Aggregate levels): Intermediate,2587.4
AUT,Austria,1997,Education (Aggregate levels): Advanced,336.2
AUT,Austria,1998,Education (Aggregate levels): Total,3838.3327
AUT,Austria,1998,Education (Aggregate levels): Basic,854.9748
AUT,Austria,1998,Education (Aggregate levels): Intermediate,2642.613
AUT,Austria,1998,Education (Aggregate levels): Advanced,340.7449
AUT,Austria,1999,Education (Aggregate levels): Total,3859.0058
AUT,Austria,1999,Education (Aggregate levels): Basic,840.8009
AUT,Austria,1999,Education (Aggregate levels): Intermediate,2441.2983
AUT,Austria,1999,Education (Aggregate levels): Advanced,575.0946
AUT,Austria,1999,Education (Aggregate levels): Level not stated,1.8121
AUT,Austria,2000,Education (Aggregate levels): Total,3864.7032
AUT,Austria,2000,Education (Aggregate levels): Basic,811.2367
AUT,Austria,2000,Education (Aggregate levels): Intermediate,2466.7486
AUT,Austria,2000,Education (Aggregate levels): Advanced,586.2378
AUT,Austria,2000,Education (Aggregate levels): Level not stated,0.4802
AUT,Austria,2001,Education (Aggregate levels): Total,3850.8187
AUT,Austria,2001,Education (Aggregate levels): Basic,766.3053
AUT,Austria,2001,Education (Aggregate levels): Intermediate,2484.1463
AUT,Austria,2001,Education (Aggregate levels): Advanced,598.2838
AUT,Austria,2001,Education (Aggregate levels): Level not stated,2.0833
AUT,Austria,2002,Education (Aggregate levels): Total,3856.2206
AUT,Austria,2002,Education (Aggregate levels): Basic,754.4523
AUT,Austria,2002,Education (Aggregate levels): Intermediate,2421.6057
AUT,Austria,2002,Education (Aggregate levels): Advanced,680.1626
AUT,Austria,2003,Education (Aggregate levels): Total,3933.2918
AUT,Austria,2003,Education (Aggregate levels): Basic,754.6282
AUT,Austria,2003,Education (Aggregate levels): Intermediate,2502.6969
AUT,Austria,2003,Education (Aggregate levels): Advanced,675.3198
AUT,Austria,2003,Education (Aggregate levels): Level not stated,0.647
AUT,Austria,2004,Education (Aggregate levels): Total,3829.587
AUT,Austria,2004,Education (Aggregate levels): Basic,686.6014
AUT,Austria,2004,Education (Aggregate levels): Intermediate,2412.439
AUT,Austria,2004,Education (Aggregate levels): Advanced,730.1094
AUT,Austria,2005,Education (Aggregate levels): Total,3970.8827
AUT,Austria,2005,Education (Aggregate levels): Basic,710.6212
AUT,Austria,2005,Education (Aggregate levels): Intermediate,2538.473
AUT,Austria,2005,Education (Aggregate levels): Advanced,721.7885
AUT,Austria,2006,Education (Aggregate levels): Total,4037.68
AUT,Austria,2006,Education (Aggregate levels): Basic,754.7711
AUT,Austria,2006,Education (Aggregate levels): Intermediate,2563.8026
AUT,Austria,2006,Education (Aggregate levels): Advanced,719.1062
AUT,Austria,2007,Education (Aggregate levels): Total,4123.9095
AUT,Austria,2007,Education (Aggregate levels): Basic,806.2347
AUT,Austria,2007,Education (Aggregate levels): Intermediate,2594.8455
AUT,Austria,2007,Education (Aggregate levels): Advanced,722.8294
AUT,Austria,2008,Education (Aggregate levels): Total,4166.0554
AUT,Austria,2008,Education (Aggregate levels): Basic,765.8457
AUT,Austria,2008,Education (Aggregate levels): Intermediate,2658.7114
AUT,Austria,2008,Education (Aggregate levels): Advanced,741.4983
AUT,Austria,2009,Education (Aggregate levels): Total,4205.1136
AUT,Austria,2009,Education (Aggregate levels): Basic,739.7741
AUT,Austria,2009,Education (Aggregate levels): Intermediate,2671.1912
AUT,Austria,2009,Education (Aggregate levels): Advanced,794.1484
AUT,Austria,2010,Education (Aggregate levels): Total,4220.0867
AUT,Austria,2010,Education (Aggregate levels): Basic,712.4424
AUT,Austria,2010,Education (Aggregate levels): Intermediate,2702.2708
AUT,Austria,2010,Education (Aggregate levels): Advanced,805.3734
AUT,Austria,2011,Education (Aggregate levels): Total,4246.232
AUT,Austria,2011,Education (Aggregate levels): Basic,721.6124
AUT,Austria,2011,Education (Aggregate levels): Intermediate,2707.4035
AUT,Austria,2011,Education (Aggregate levels): Advanced,817.2161
AUT,Austria,2012,Education (Aggregate levels): Total,4293.3593
AUT,Austria,2012,Education (Aggregate levels): Basic,698.8265
AUT,Austria,2012,Education (Aggregate levels): Intermediate,2739.3149
AUT,Austria,2012,Education (Aggregate levels): Advanced,855.2179
AUT,Austria,2013,Education (Aggregate levels): Total,4336.0401
AUT,Austria,2013,Education (Aggregate levels): Basic,684.0217
AUT,Austria,2013,Education (Aggregate levels): Intermediate,2750.3738
AUT,Austria,2013,Education (Aggregate levels): Advanced,901.6446
AUT,Austria,2014,Education (Aggregate levels): Total,4357.5595
AUT,Austria,2014,Education (Aggregate levels): Basic,643.6131
AUT,Austria,2014,Education (Aggregate levels): Intermediate,2339.4901
AUT,Austria,2014,Education (Aggregate levels): Advanced,1374.4563
AUT,Austria,2015,Education (Aggregate levels): Total,4400.0822
AUT,Austria,2015,Education (Aggregate levels): Basic,620.5187
AUT,Austria,2015,Education (Aggregate levels): Intermediate,2357.5931
AUT,Austria,2015,Education (Aggregate levels): Advanced,1421.9704
AUT,Austria,2016,Education (Aggregate levels): Total,4490.2741
AUT,Austria,2016,Education (Aggregate levels): Basic,637.8423
AUT,Austria,2016,Education (Aggregate levels): Intermediate,2364.9342
AUT,Austria,2016,Education (Aggregate levels): Advanced,1487.4975
AUT,Austria,2017,Education (Aggregate levels): Total,4508.3241
AUT,Austria,2017,Education (Aggregate levels): Basic,626.5089
AUT,Austria,2017,Education (Aggregate levels): Intermediate,2350.7598
AUT,Austria,2017,Education (Aggregate levels): Advanced,1531.0555
AUT,Austria,2018,Education (Aggregate levels): Total,4539.0739
AUT,Austria,2018,Education (Aggregate levels): Basic,615.4964
AUT,Austria,2018,Education (Aggregate levels): Intermediate,2367.6917
AUT,Austria,2018,Education (Aggregate levels): Advanced,1555.8858
AZE,Azerbaijan,2007,Education (Aggregate levels): Total,4295.1
AZE,Azerbaijan,2007,Education (Aggregate levels): Less than basic,11
AZE,Azerbaijan,2007,Education (Aggregate levels): Basic,145
AZE,Azerbaijan,2007,Education (Aggregate levels): Intermediate,3181.7
AZE,Azerbaijan,2007,Education (Aggregate levels): Advanced,957.4
AZE,Azerbaijan,2008,Education (Aggregate levels): Total,4317.4
AZE,Azerbaijan,2008,Education (Aggregate levels): Less than basic,16.1
AZE,Azerbaijan,2008,Education (Aggregate levels): Basic,108.8
AZE,Azerbaijan,2008,Education (Aggregate levels): Intermediate,3285
AZE,Azerbaijan,2008,Education (Aggregate levels): Advanced,907.5
AZE,Azerbaijan,2009,Education (Aggregate levels): Total,4531.892
AZE,Azerbaijan,2009,Education (Aggregate levels): Basic,316.823
AZE,Azerbaijan,2009,Education (Aggregate levels): Intermediate,3016.724
AZE,Azerbaijan,2009,Education (Aggregate levels): Advanced,1198.345
AZE,Azerbaijan,2010,Education (Aggregate levels): Total,4587.4
AZE,Azerbaijan,2010,Education (Aggregate levels): Basic,328.713
AZE,Azerbaijan,2010,Education (Aggregate levels): Intermediate,3043.863
AZE,Azerbaijan,2010,Education (Aggregate levels): Advanced,1214.824
AZE,Azerbaijan,2011,Education (Aggregate levels): Total,4626.029
AZE,Azerbaijan,2011,Education (Aggregate levels): Basic,349.569
AZE,Azerbaijan,2011,Education (Aggregate levels): Intermediate,3051.723
AZE,Azerbaijan,2011,Education (Aggregate levels): Advanced,1224.737
AZE,Azerbaijan,2012,Education (Aggregate levels): Total,4688.408
AZE,Azerbaijan,2012,Education (Aggregate levels): Basic,348.9
AZE,Azerbaijan,2012,Education (Aggregate levels): Intermediate,3086.3
AZE,Azerbaijan,2012,Education (Aggregate levels): Advanced,1253.208
AZE,Azerbaijan,2013,Education (Aggregate levels): Total,4757.8
AZE,Azerbaijan,2013,Education (Aggregate levels): Basic,334.4
AZE,Azerbaijan,2013,Education (Aggregate levels): Intermediate,3150.6
AZE,Azerbaijan,2013,Education (Aggregate levels): Advanced,1272.8
BEL,Belgium,1995,Education (Aggregate levels): Total,4180.2
BEL,Belgium,1995,Education (Aggregate levels): Basic,1439.7
BEL,Belgium,1995,Education (Aggregate levels): Intermediate,1560.2
BEL,Belgium,1995,Education (Aggregate levels): Advanced,1180.2
BEL,Belgium,1996,Education (Aggregate levels): Total,4183.3
BEL,Belgium,1996,Education (Aggregate levels): Basic,1352.3
BEL,Belgium,1996,Education (Aggregate levels): Intermediate,1584.7
BEL,Belgium,1996,Education (Aggregate levels): Advanced,1246.2
BEL,Belgium,1997,Education (Aggregate levels): Total,4211.2
BEL,Belgium,1997,Education (Aggregate levels): Basic,1319.4
BEL,Belgium,1997,Education (Aggregate levels): Intermediate,1597.7
BEL,Belgium,1997,Education (Aggregate levels): Advanced,1294.1
BEL,Belgium,1998,Education (Aggregate levels): Total,4253.374
BEL,Belgium,1998,Education (Aggregate levels): Basic,1406.6093
BEL,Belgium,1998,Education (Aggregate levels): Intermediate,1551.4964
BEL,Belgium,1998,Education (Aggregate levels): Advanced,1295.2683
BEL,Belgium,1999,Education (Aggregate levels): Total,4364.9183
BEL,Belgium,1999,Education (Aggregate levels): Basic,1454.1193
BEL,Belgium,1999,Education (Aggregate levels): Intermediate,1540.9627
BEL,Belgium,1999,Education (Aggregate levels): Advanced,1369.8362
BEL,Belgium,2000,Education (Aggregate levels): Total,4410.5274
BEL,Belgium,2000,Education (Aggregate levels): Basic,1418.3962
BEL,Belgium,2000,Education (Aggregate levels): Intermediate,1584.5461
BEL,Belgium,2000,Education (Aggregate levels): Advanced,1407.5851
BEL,Belgium,2001,Education (Aggregate levels): Total,4304.5187
BEL,Belgium,2001,Education (Aggregate levels): Basic,1317.7305
BEL,Belgium,2001,Education (Aggregate levels): Intermediate,1570.4421
BEL,Belgium,2001,Education (Aggregate levels): Advanced,1416.3461
BEL,Belgium,2002,Education (Aggregate levels): Total,4353.2749
BEL,Belgium,2002,Education (Aggregate levels): Basic,1294.2732
BEL,Belgium,2002,Education (Aggregate levels): Intermediate,1622.0528
BEL,Belgium,2002,Education (Aggregate levels): Advanced,1436.949
BEL,Belgium,2003,Education (Aggregate levels): Total,4391.8491
BEL,Belgium,2003,Education (Aggregate levels): Basic,1279.0257
BEL,Belgium,2003,Education (Aggregate levels): Intermediate,1672.4478
BEL,Belgium,2003,Education (Aggregate levels): Advanced,1440.3756
BEL,Belgium,2004,Education (Aggregate levels): Total,4473.3538
BEL,Belgium,2004,Education (Aggregate levels): Basic,1236.76
BEL,Belgium,2004,Education (Aggregate levels): Intermediate,1684.5767
BEL,Belgium,2004,Education (Aggregate levels): Advanced,1552.0171
BEL,Belgium,2005,Education (Aggregate levels): Total,4625.8444
BEL,Belgium,2005,Education (Aggregate levels): Less than basic,133.1938
BEL,Belgium,2005,Education (Aggregate levels): Basic,1058.4007
BEL,Belgium,2005,Education (Aggregate levels): Intermediate,1802.4489
BEL,Belgium,2005,Education (Aggregate levels): Advanced,1631.3027
BEL,Belgium,2005,Education (Aggregate levels): Level not stated,0.4983
BEL,Belgium,2006,Education (Aggregate levels): Total,4647.1616
BEL,Belgium,2006,Education (Aggregate levels): Less than basic,124.4798
BEL,Belgium,2006,Education (Aggregate levels): Basic,1042.8904
BEL,Belgium,2006,Education (Aggregate levels): Intermediate,1801.9654
BEL,Belgium,2006,Education (Aggregate levels): Advanced,1677.724
BEL,Belgium,2007,Education (Aggregate levels): Total,4733.2815
BEL,Belgium,2007,Education (Aggregate levels): Less than basic,132.4472
BEL,Belgium,2007,Education (Aggregate levels): Basic,1014.8468
BEL,Belgium,2007,Education (Aggregate levels): Intermediate,1860.6977
BEL,Belgium,2007,Education (Aggregate levels): Advanced,1725.1632
BEL,Belgium,2008,Education (Aggregate levels): Total,4779.28
BEL,Belgium,2008,Education (Aggregate levels): Less than basic,114.0851
BEL,Belgium,2008,Education (Aggregate levels): Basic,976.3115
BEL,Belgium,2008,Education (Aggregate levels): Intermediate,1943.161
BEL,Belgium,2008,Education (Aggregate levels): Advanced,1745.7224
BEL,Belgium,2009,Education (Aggregate levels): Total,4800.2976
BEL,Belgium,2009,Education (Aggregate levels): Less than basic,114.2109
BEL,Belgium,2009,Education (Aggregate levels): Basic,930.6695
BEL,Belgium,2009,Education (Aggregate levels): Intermediate,1943.32
BEL,Belgium,2009,Education (Aggregate levels): Advanced,1812.0972
BEL,Belgium,2010,Education (Aggregate levels): Total,4894.5836
BEL,Belgium,2010,Education (Aggregate levels): Less than basic,124.2525
BEL,Belgium,2010,Education (Aggregate levels): Basic,972.9813
BEL,Belgium,2010,Education (Aggregate levels): Intermediate,1893.4995
BEL,Belgium,2010,Education (Aggregate levels): Advanced,1903.6522
BEL,Belgium,2011,Education (Aggregate levels): Total,4855.9707
BEL,Belgium,2011,Education (Aggregate levels): Less than basic,125.9379
BEL,Belgium,2011,Education (Aggregate levels): Basic,917.3718
BEL,Belgium,2011,Education (Aggregate levels): Intermediate,1925.995
BEL,Belgium,2011,Education (Aggregate levels): Advanced,1886.666
BEL,Belgium,2012,Education (Aggregate levels): Total,4892.924
BEL,Belgium,2012,Education (Aggregate levels): Less than basic,132.2867
BEL,Belgium,2012,Education (Aggregate levels): Basic,893.1187
BEL,Belgium,2012,Education (Aggregate levels): Intermediate,1921.5284
BEL,Belgium,2012,Education (Aggregate levels): Advanced,1945.9902
BEL,Belgium,2013,Education (Aggregate levels): Total,4947.1094
BEL,Belgium,2013,Education (Aggregate levels): Less than basic,117.8883
BEL,Belgium,2013,Education (Aggregate levels): Basic,882.4103
BEL,Belgium,2013,Education (Aggregate levels): Intermediate,1979.9003
BEL,Belgium,2013,Education (Aggregate levels): Advanced,1966.9106
BEL,Belgium,2014,Education (Aggregate levels): Total,4966.8553
BEL,Belgium,2014,Education (Aggregate levels): Less than basic,88.6753
BEL,Belgium,2014,Education (Aggregate levels): Basic,883.7098
BEL,Belgium,2014,Education (Aggregate levels): Intermediate,1935.4675
BEL,Belgium,2014,Education (Aggregate levels): Advanced,2059.0027
BEL,Belgium,2015,Education (Aggregate levels): Total,4973.4688
BEL,Belgium,2015,Education (Aggregate levels): Less than basic,82.9233
BEL,Belgium,2015,Education (Aggregate levels): Basic,842.7051
BEL,Belgium,2015,Education (Aggregate levels): Intermediate,1988.4873
BEL,Belgium,2015,Education (Aggregate levels): Advanced,2059.3531
BEL,Belgium,2016,Education (Aggregate levels): Total,4976.3185
BEL,Belgium,2016,Education (Aggregate levels): Less than basic,68.7152
BEL,Belgium,2016,Education (Aggregate levels): Basic,825.4628
BEL,Belgium,2016,Education (Aggregate levels): Intermediate,1983.0036
BEL,Belgium,2016,Education (Aggregate levels): Advanced,2099.137
BEL,Belgium,2017,Education (Aggregate levels): Total,4991.4927
BEL,Belgium,2017,Education (Aggregate levels): Less than basic,65.3584
BEL,Belgium,2017,Education (Aggregate levels): Basic,770.7432
BEL,Belgium,2017,Education (Aggregate levels): Intermediate,1904.8055
BEL,Belgium,2017,Education (Aggregate levels): Advanced,2250.5855
BEL,Belgium,2018,Education (Aggregate levels): Total,5055.9168
BEL,Belgium,2018,Education (Aggregate levels): Less than basic,62.4464
BEL,Belgium,2018,Education (Aggregate levels): Basic,735.4235
BEL,Belgium,2018,Education (Aggregate levels): Intermediate,1965.4579
BEL,Belgium,2018,Education (Aggregate levels): Advanced,2292.589
BGR,Bulgaria,2000,Education (Aggregate levels): Total,3428.4287
BGR,Bulgaria,2000,Education (Aggregate levels): Basic,845.7294
BGR,Bulgaria,2000,Education (Aggregate levels): Intermediate,1882.2288
BGR,Bulgaria,2000,Education (Aggregate levels): Advanced,700.4706
BGR,Bulgaria,2001,Education (Aggregate levels): Total,3441.3913
BGR,Bulgaria,2001,Education (Aggregate levels): Basic,748.1185
BGR,Bulgaria,2001,Education (Aggregate levels): Intermediate,1895.7176
BGR,Bulgaria,2001,Education (Aggregate levels): Advanced,797.5553
BGR,Bulgaria,2002,Education (Aggregate levels): Total,3419.7845
BGR,Bulgaria,2002,Education (Aggregate levels): Basic,744.748
BGR,Bulgaria,2002,Education (Aggregate levels): Intermediate,1890.6247
BGR,Bulgaria,2002,Education (Aggregate levels): Advanced,784.4118
BGR,Bulgaria,2003,Education (Aggregate levels): Total,3333.7884
BGR,Bulgaria,2003,Education (Aggregate levels): Less than basic,23.1937
BGR,Bulgaria,2003,Education (Aggregate levels): Basic,686.8744
BGR,Bulgaria,2003,Education (Aggregate levels): Intermediate,1843.5841
BGR,Bulgaria,2003,Education (Aggregate levels): Advanced,780.1362
BGR,Bulgaria,2004,Education (Aggregate levels): Total,3376.2586
BGR,Bulgaria,2004,Education (Aggregate levels): Less than basic,28.8635
BGR,Bulgaria,2004,Education (Aggregate levels): Basic,699.0428
BGR,Bulgaria,2004,Education (Aggregate levels): Intermediate,1848.7634
BGR,Bulgaria,2004,Education (Aggregate levels): Advanced,799.589
BGR,Bulgaria,2005,Education (Aggregate levels): Total,3316.2841
BGR,Bulgaria,2005,Education (Aggregate levels): Less than basic,22.5553
BGR,Bulgaria,2005,Education (Aggregate levels): Basic,641.6844
BGR,Bulgaria,2005,Education (Aggregate levels): Intermediate,1853.6853
BGR,Bulgaria,2005,Education (Aggregate levels): Advanced,798.3592
BGR,Bulgaria,2006,Education (Aggregate levels): Total,3415.7136
BGR,Bulgaria,2006,Education (Aggregate levels): Less than basic,18.2411
BGR,Bulgaria,2006,Education (Aggregate levels): Basic,580.9826
BGR,Bulgaria,2006,Education (Aggregate levels): Intermediate,1990.9488
BGR,Bulgaria,2006,Education (Aggregate levels): Advanced,825.5411
BGR,Bulgaria,2007,Education (Aggregate levels): Total,3492.8331
BGR,Bulgaria,2007,Education (Aggregate levels): Less than basic,18.8136
BGR,Bulgaria,2007,Education (Aggregate levels): Basic,553.0291
BGR,Bulgaria,2007,Education (Aggregate levels): Intermediate,2071.4257
BGR,Bulgaria,2007,Education (Aggregate levels): Advanced,849.5647
BGR,Bulgaria,2008,Education (Aggregate levels): Total,3560.3999
BGR,Bulgaria,2008,Education (Aggregate levels): Less than basic,20.2347
