iso2c,country,gdp_growth,year
AL,Albania,4.00441323438758,2018
AL,Albania,3.83661965642376,2017
AL,Albania,3.34999968813095,2016
AL,Albania,2.23000017922044,2015
AL,Albania,1.77000029658963,2014
AL,Albania,1.00198792581364,2013
AL,Albania,1.41752599216282,2012
AL,Albania,2.5454053935363,2011
AL,Albania,3.70688068400311,2010
AL,Albania,3.3499939006005,2009
AL,Albania,7.49996956029166,2008
AL,Albania,5.97998203625438,2007
AL,Albania,5.90008395738064,2006
AL,Albania,5.52991480926491,2005
AL,Albania,5.5099986931984,2004
AL,Albania,5.53005077793323,2003
AL,Albania,4.53996064044719,2002
AL,Albania,8.29007002725659,2001
AL,Albania,6.95003613422918,2000
AL,Albania,12.8898967331889,1999
AL,Albania,8.83008770869769,1998
AL,Albania,-10.9199840851035,1997
AL,Albania,9.09999944360231,1996
AL,Albania,13.3223333200803,1995
AM,Armenia,5.2,2018
AM,Armenia,7.5000000006513,2017
AM,Armenia,0.199999999825991,2016
AM,Armenia,3.19999999896625,2015
AM,Armenia,3.60000000058993,2014
AM,Armenia,3.3,2013
AM,Armenia,7.20000000365837,2012
AM,Armenia,4.69999999879775,2011
AM,Armenia,2.19999999752649,2010
AM,Armenia,-14.1499886393402,2009
AM,Armenia,6.90000000204793,2008
AM,Armenia,13.7492019576137,2007
AM,Armenia,13.1980035180683,2006
AM,Armenia,13.8657112537337,2005
AM,Armenia,10.4678418560027,2004
AM,Armenia,14.0407950552142,2003
AM,Armenia,13.1863005304562,2002
AM,Armenia,9.55664149980662,2001
AM,Armenia,5.90000000103537,2000
AM,Armenia,3.30000000199068,1999
AM,Armenia,7.29999998931331,1998
AM,Armenia,3.32107969826836,1997
AM,Armenia,5.86540075090531,1996
AM,Armenia,6.89999841554014,1995
AT,Austria,2.72908309897117,2018
AT,Austria,2.55088075977935,2017
AT,Austria,2.03957498344849,2016
AT,Austria,1.14298010071532,2015
AT,Austria,0.661274652949004,2014
AT,Austria,0.0255041006158336,2013
AT,Austria,0.68044437424868,2012
AT,Austria,2.92279763636382,2011
AT,Austria,1.83709459152502,2010
AT,Austria,-3.76458048308088,2009
AT,Austria,1.46042519318141,2008
AT,Austria,3.72741517552969,2007
AT,Austria,3.45404103230437,2006
AT,Austria,2.24406681223554,2005
AT,Austria,2.73511851844388,2004
AT,Austria,0.941473311999275,2003
AT,Austria,1.65154940733892,2002
AT,Austria,1.26717046902299,2001
AT,Austria,3.37572197324998,2000
AT,Austria,3.55633024060906,1999
AT,Austria,3.58143100907364,1998
AT,Austria,2.09359647615659,1997
AT,Austria,2.34953509672661,1996
AT,Austria,2.66798366552709,1995
AZ,Azerbaijan,1.41287352692132,2018
AZ,Azerbaijan,-0.282011196847733,2017
AZ,Azerbaijan,-3.06420003538679,2016
AZ,Azerbaijan,1.05075098242399,2015
AZ,Azerbaijan,2.79728938165775,2014
AZ,Azerbaijan,5.84267326989973,2013
AZ,Azerbaijan,2.20293902267818,2012
AZ,Azerbaijan,-1.57299762108386,2011
AZ,Azerbaijan,4.7888327097976,2010
AZ,Azerbaijan,9.369502784186,2009
AZ,Azerbaijan,10.5914372943933,2008
AZ,Azerbaijan,25.4632159061216,2007
AZ,Azerbaijan,34.4662093637953,2006
AZ,Azerbaijan,27.9615380685244,2005
AZ,Azerbaijan,9.25380132627771,2004
AZ,Azerbaijan,10.2083000110732,2003
AZ,Azerbaijan,9.43891634238625,2002
AZ,Azerbaijan,9.89999999999998,2001
AZ,Azerbaijan,11.0999992535407,2000
AZ,Azerbaijan,7.40000058167315,1999
AZ,Azerbaijan,10.0000002781915,1998
AZ,Azerbaijan,5.8000005239013,1997
AZ,Azerbaijan,1.30000019976251,1996
AZ,Azerbaijan,-11.8000008993603,1995
BE,Belgium,1.43783467602618,2018
BE,Belgium,1.73438965580127,2017
BE,Belgium,1.45255222408282,2016
BE,Belgium,1.73958044796446,2015
BE,Belgium,1.25467698401434,2014
BE,Belgium,0.200661827638712,2013
BE,Belgium,0.234778700910667,2012
BE,Belgium,1.79830621979427,2011
BE,Belgium,2.74423108261561,2010
BE,Belgium,-2.25317154824786,2009
BE,Belgium,0.783158195820619,2008
BE,Belgium,3.44897640053534,2007
BE,Belgium,2.50614023797755,2006
BE,Belgium,2.09426565677184,2005
BE,Belgium,3.6348531201026,2004
BE,Belgium,0.774406593148001,2003
BE,Belgium,1.78049554421949,2002
BE,Belgium,0.811553673521345,2001
BE,Belgium,3.63363580186243,2000
BE,Belgium,3.56333650515313,1999
BE,Belgium,1.97527365466989,1998
BE,Belgium,3.71041962167318,1997
BE,Belgium,1.59339704279502,1996
BE,Belgium,2.3847571900651,1995
BG,Bulgaria,3.08115723374425,2018
BG,Bulgaria,3.81124815844305,2017
BG,Bulgaria,3.9367581489791,2016
BG,Bulgaria,3.47118604090714,2015
BG,Bulgaria,1.8375211479416,2014
BG,Bulgaria,0.493921421234305,2013
BG,Bulgaria,0.0309698686798754,2012
BG,Bulgaria,1.91490585291416,2011
BG,Bulgaria,1.32408780093829,2010
BG,Bulgaria,-3.58614562510616,2009
BG,Bulgaria,6.02188340210856,2008
BG,Bulgaria,7.3444219091066,2007
BG,Bulgaria,6.87435837944525,2006
BG,Bulgaria,7.12351107638302,2005
BG,Bulgaria,6.43535832318665,2004
BG,Bulgaria,5.15621844288377,2003
BG,Bulgaria,5.93751640002745,2002
BG,Bulgaria,3.77021779291451,2001
BG,Bulgaria,4.76577106392688,2000
BG,Bulgaria,-8.40813438865463,1999
BG,Bulgaria,6.34897902911045,1998
BG,Bulgaria,-1.08882024740534,1997
BG,Bulgaria,0.704680677821131,1996
BG,Bulgaria,2.86018944148833,1995
BA,Bosnia and Herzegovina,3.06613484784417,2018
BA,Bosnia and Herzegovina,3.16355948711239,2017
BA,Bosnia and Herzegovina,3.14565809237735,2016
BA,Bosnia and Herzegovina,3.08822376132143,2015
BA,Bosnia and Herzegovina,1.14803801103687,2014
BA,Bosnia and Herzegovina,2.35103401437631,2013
BA,Bosnia and Herzegovina,-0.821729266233604,2012
BA,Bosnia and Herzegovina,0.958953087750629,2011
BA,Bosnia and Herzegovina,0.872151022572723,2010
BA,Bosnia and Herzegovina,-3.00275253730304,2009
BA,Bosnia and Herzegovina,5.42672660024228,2008
BA,Bosnia and Herzegovina,5.85558493923682,2007
BA,Bosnia and Herzegovina,5.41726968398982,2006
BA,Bosnia and Herzegovina,8.75925670006414,2005
BA,Bosnia and Herzegovina,6.09996678020042,2004
BA,Bosnia and Herzegovina,4.00000006535353,2003
BA,Bosnia and Herzegovina,5.30000026724034,2002
BA,Bosnia and Herzegovina,4.39999950666288,2001
BA,Bosnia and Herzegovina,5.50000043583101,2000
BA,Bosnia and Herzegovina,9.59999979508615,1999
BA,Bosnia and Herzegovina,15.5999963635658,1998
BA,Bosnia and Herzegovina,34.3895745908777,1997
BA,Bosnia and Herzegovina,88.9576648014073,1996
BA,Bosnia and Herzegovina,20.8000005498984,1995
BY,Belarus,3.04990554989585,2018
BY,Belarus,2.53218350023035,2017
BY,Belarus,-2.52644643552361,2016
BY,Belarus,-3.82957055828382,2015
BY,Belarus,1.72638485417005,2014
BY,Belarus,1.00347084085645,2013
BY,Belarus,1.68713553642841,2012
BY,Belarus,5.37870744981015,2011
BY,Belarus,7.79826682269731,2010
BY,Belarus,0.199995310014472,2009
BY,Belarus,10.1999994395436,2008
BY,Belarus,8.60000653624813,2007
BY,Belarus,9.99999481247369,2006
BY,Belarus,9.40000152357688,2005
BY,Belarus,11.4497431053961,2004
BY,Belarus,7.04319255874692,2003
BY,Belarus,5.04526748002185,2002
BY,Belarus,4.72530599387507,2001
BY,Belarus,5.80000344007456,2000
BY,Belarus,3.39999916322964,1999
BY,Belarus,8.39999142031994,1998
BY,Belarus,11.4000054053548,1997
BY,Belarus,2.80000465053934,1996
BY,Belarus,-10.4000004914994,1995
CY,Cyprus,3.87598486671344,2018
CY,Cyprus,4.46887904445133,2017
CY,Cyprus,4.81218762402544,2016
CY,Cyprus,1.9623040096572,2015
CY,Cyprus,-1.31146542300257,2014
