iso2c,country,population_total,year
UA,Ukraine,45004645,2016
UA,Ukraine,45154029,2015
UA,Ukraine,45271947,2014
UA,Ukraine,45489600,2013
UA,Ukraine,45593300,2012
UA,Ukraine,45706100,2011
UA,Ukraine,45870700,2010
UA,Ukraine,46053300,2009
UA,Ukraine,46258200,2008
UA,Ukraine,46509350,2007
UA,Ukraine,46787750,2006
UA,Ukraine,47105150,2005
UA,Ukraine,47451600,2004
UA,Ukraine,47812950,2003
UA,Ukraine,48202500,2002
UA,Ukraine,48683865,2001
UA,Ukraine,49175848,2000
UA,Ukraine,49673350,1999
UA,Ukraine,50143939,1998
UA,Ukraine,50594105,1997
UA,Ukraine,51057189,1996
UA,Ukraine,51512299,1995
UZ,Uzbekistan,32955400,2018
UZ,Uzbekistan,32388600,2017
UZ,Uzbekistan,31847900,2016
UZ,Uzbekistan,31298900,2015
UZ,Uzbekistan,30757700,2014
UZ,Uzbekistan,30243200,2013
UZ,Uzbekistan,29774500,2012
UZ,Uzbekistan,29339400,2011
UZ,Uzbekistan,28562400,2010
UZ,Uzbekistan,27767400,2009
UZ,Uzbekistan,27302800,2008
UZ,Uzbekistan,26868000,2007
UZ,Uzbekistan,26488250,2006
UZ,Uzbekistan,26167000,2005
UZ,Uzbekistan,25864350,2004
UZ,Uzbekistan,25567650,2003
UZ,Uzbekistan,25271850,2002
UZ,Uzbekistan,24964450,2001
UZ,Uzbekistan,24650400,2000
UZ,Uzbekistan,24311650,1999
UZ,Uzbekistan,24051000,1998
UZ,Uzbekistan,23667000,1997
UZ,Uzbekistan,23225000,1996
UZ,Uzbekistan,22785000,1995
