"Both sexes","Serious assault","Victims of crime","Spain",..,..,11469,11393,12665,12511,15950,17408,17392,17164,17278,17482,16806,16386,15704,15038,19177,39034,23067,24007
"Both sexes","Serious assault","Victims of crime","Sweden",..,..,3917,4039,3882,4155,4375,4702,4810,5232,5332,5600,5594,5684,5338,4659,4570,4632,4932,4625
"Both sexes","Serious assault","Victims of crime","Switzerland",..,..,..,..,..,..,..,..,..,..,..,2212,2197,2091,2258,1893,1797,1719,1687,1727
"Both sexes","Serious assault","Victims of crime","Tajikistan",..,..,127,124,108,94,111,111,111,122,97,96,98,93,91,107,124,110,115,132
"Both sexes","Serious assault","Victims of crime","Turkey",..,..,53282,93750,104068,106183,119721,78475,95897,159727,190611,280991,325733,351736,393893,386168,375745,416186,..,..
"Both sexes","Serious assault","Victims of crime","Ukraine",..,..,..,..,5898,6344,5855,5715,5235,5451,5002,4097,3711,3411,3053,2875,2925,2385,2170,1991
"Both sexes","Serious assault","Victims of crime","United Kingdom",8930,10457,15672,16567,18016,19528,19612,18825,17276,15118,22663,22795,19489,17777,17006,17929,20561,23018,25325,29771
"Female","Serious assault","Victims of crime","Albania",..,..,..,..,..,..,..,..,..,..,4,7,10,8,8,6,7,10,6,8
"Female","Serious assault","Victims of crime","Armenia",..,..,18,19,21,24,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Female","Serious assault","Victims of crime","Austria",..,..,..,38,39,40,45,41,39,42,51,47,66,77,82,82,72,83,92,95
"Female","Serious assault","Victims of crime","Azerbaijan",..,..,..,..,..,5,1,4,4,6,3,3,3,3,4,3,3,1,6,1
"Female","Serious assault","Victims of crime","Belarus",..,395,423,482,488,494,563,562,516,448,410,367,340,306,232,224,207,177,152,149
"Female","Serious assault","Victims of crime","Bosnia and Herzegovina",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Female","Serious assault","Victims of crime","Bulgaria",..,..,8,12,13,16,9,20,15,8,16,13,8,4,5,6,2,5,4,6
"Female","Serious assault","Victims of crime","Croatia",..,..,167,232,213,237,192,168,184,177,181,169,121,131,151,148,131,118,127,114
"Female","Serious assault","Victims of crime","Cyprus",7,16,22,28,27,27,35,18,28,23,28,58,..,..,..,..,..,..,..,..
"Female","Serious assault","Victims of crime","Czechia",..,..,..,..,..,..,..,..,..,..,..,812,504,712,838,876,..,..,..,..
"Female","Serious assault","Victims of crime","Denmark",..,..,..,364,422,457,410,440,449,487,554,481,613,509,452,458,459,496,562,1161
"Female","Serious assault","Victims of crime","Estonia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Female","Serious assault","Victims of crime","Finland",..,..,..,..,..,..,..,..,..,..,..,507,444,481,441,425,410,423,424,456
"Female","Serious assault","Victims of crime","France",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,123249,..,..
"Female","Serious assault","Victims of crime","Georgia",..,..,..,..,..,..,..,31,24,24,17,18,11,15,5,9,14,10,11,10
"Female","Serious assault","Victims of crime","Germany",16269,24285,31986,33921,37336,39479,40795,42674,44025,43757,45138,44277,43114,42045,42051,40555,40162,40916,..,..
"Female","Serious assault","Victims of crime","Greece",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Female","Serious assault","Victims of crime","Hungary",411,439,432,394,424,394,409,403,346,338,374,1984,2140,1765,1660,1791,1757,1572,1376,1244
"Female","Serious assault","Victims of crime","Iceland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Female","Serious assault","Victims of crime","Ireland",..,..,..,..,..,834,851,793,862,804,745,787,785,741,716,673,689,821,911,1052
"Female","Serious assault","Victims of crime","Italy",..,..,..,..,..,..,..,..,..,24326,25288,23553,23406,25379,26214,25384,24784,23543,22691,23353
"Female","Serious assault","Victims of crime","Kazakhstan",..,..,..,..,..,..,..,..,..,..,..,..,252,283,279,259,222,315,295,277
"Female","Serious assault","Victims of crime","Kyrgyzstan",..,..,42,42,44,72,58,47,45,36,35,47,56,51,..,..,..,..,..,..
"Female","Serious assault","Victims of crime","Latvia",..,5368,7281,6851,6703,..,..,..,..,..,..,..,..,..,34,47,51,29,..,33
"Female","Serious assault","Victims of crime","Lithuania",..,37,70,58,..,..,77,63,56,37,52,39,57,62,32,33,31,27,45,43
"Female","Serious assault","Victims of crime","Luxembourg",..,..,..,402,411,444,556,609,667,..,..,..,..,..,..,..,..,..,..,..
"Female","Serious assault","Victims of crime","Malta",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Female","Serious assault","Victims of crime","Netherlands",..,..,..,..,..,..,..,23739,25898,26318,25000,19294,18356,..,..,..,..,..,..,..
"Female","Serious assault","Victims of crime","North Macedonia",..,..,..,..,..,..,..,..,193,..,..,..,..,..,..,..,..,..,..,..
"Female","Serious assault","Victims of crime","Norway",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Female","Serious assault","Victims of crime","Poland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Female","Serious assault","Victims of crime","Portugal",..,291,101,141,116,185,183,180,..,..,..,..,..,..,..,..,..,..,..,..
"Female","Serious assault","Victims of crime","Republic of Moldova",..,..,71,59,63,72,62,72,63,75,63,70,150,69,44,43,56,24,21,15
"Female","Serious assault","Victims of crime","Romania",..,..,..,..,..,111,100,101,72,62,63,66,71,..,..,..,..,..,..,..
"Female","Serious assault","Victims of crime","Russian Federation",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Female","Serious assault","Victims of crime","Serbia",..,..,..,..,..,..,..,..,..,135,121,73,49,67,80,70,68,63,60,39
"Female","Serious assault","Victims of crime","Slovakia",..,..,..,..,..,..,..,831,708,582,525,558,482,429,445,427,494,473,343,329
"Female","Serious assault","Victims of crime","Slovenia",..,89,75,87,75,45,59,65,49,54,26,50,46,35,35,39,31,34,33,26
"Female","Serious assault","Victims of crime","Spain",..,..,2849,2808,3348,3645,5881,6499,6479,6225,5491,4714,4221,2891,2831,2839,3703,11778,5479,5759
"Female","Serious assault","Victims of crime","Sweden",..,..,..,..,..,..,..,..,..,..,1074,1142,1195,1194,1171,1042,1022,1079,1135,1149
"Female","Serious assault","Victims of crime","Switzerland",..,..,..,..,..,..,..,..,..,..,..,366,383,374,448,370,351,315,332,309
"Female","Serious assault","Victims of crime","Tajikistan",..,..,13,22,15,19,14,14,16,24,11,15,12,15,12,17,6,16,22,18
"Female","Serious assault","Victims of crime","Turkey",..,..,7782,17122,19693,19431,21363,12530,16274,33518,46757,75137,94954,105993,126316,129064,103944,147513,..,..
"Female","Serious assault","Victims of crime","Ukraine",..,..,..,..,1074,1009,1074,1053,852,884,858,645,643,608,487,541,475,425,387,340
"Female","Serious assault","Victims of crime","United Kingdom",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Male","Serious assault","Victims of crime","Albania",..,..,..,..,..,..,..,..,..,..,133,136,162,161,162,173,139,179,131,119
"Male","Serious assault","Victims of crime","Armenia",..,..,178,180,184,172,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Male","Serious assault","Victims of crime","Austria",..,..,..,164,218,234,264,233,226,257,270,302,307,332,370,387,399,400,503,469
"Male","Serious assault","Victims of crime","Azerbaijan",..,..,..,..,..,13,15,16,16,24,10,11,16,17,26,21,16,13,13,18
"Male","Serious assault","Victims of crime","Belarus",..,1022,1441,1454,1585,1617,1761,1712,1607,1439,1333,1194,1049,919,835,787,729,668,589,552
"Male","Serious assault","Victims of crime","Bosnia and Herzegovina",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Male","Serious assault","Victims of crime","Bulgaria",..,..,39,57,71,70,53,44,43,48,52,31,31,22,20,29,20,16,22,13
"Male","Serious assault","Victims of crime","Croatia",..,..,879,1026,1065,1035,986,1019,906,952,974,911,884,760,764,700,647,704,660,559
"Male","Serious assault","Victims of crime","Cyprus",68,135,86,112,131,141,182,130,142,160,169,232,..,..,..,..,..,..,..,..
"Male","Serious assault","Victims of crime","Czechia",..,..,..,..,..,..,..,..,..,..,..,1946,1226,1955,2270,2418,..,..,..,..
"Male","Serious assault","Victims of crime","Denmark",..,..,..,1267,1400,1498,1516,1566,1438,1768,1773,1811,1675,1704,1666,1502,1500,1460,1735,2767
"Male","Serious assault","Victims of crime","Estonia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Male","Serious assault","Victims of crime","Finland",..,..,..,..,..,..,..,..,..,..,..,2000,1850,1882,1786,1616,1572,1436,1488,1507
"Male","Serious assault","Victims of crime","France",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,128457,..,..
"Male","Serious assault","Victims of crime","Georgia",..,..,..,..,..,..,..,344,252,143,192,142,122,87,48,115,173,143,124,138
"Male","Serious assault","Victims of crime","Germany",58947,82546,101041,104260,108692,115026,122429,130902,137059,142118,137283,136160,129783,126999,123337,114240,112014,113166,..,..
"Male","Serious assault","Victims of crime","Greece",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Male","Serious assault","Victims of crime","Hungary",1595,1751,1507,1500,1490,1380,1379,1455,1335,1231,1340,5472,5922,4867,4837,5044,4746,4602,4216,3783
"Male","Serious assault","Victims of crime","Iceland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Male","Serious assault","Victims of crime","Ireland",..,..,..,..,..,2955,2913,2818,3024,2973,2956,2816,2805,2698,2415,2338,2401,2620,2624,2938
"Male","Serious assault","Victims of crime","Italy",..,..,..,..,..,..,..,..,..,35801,37072,34652,34307,37514,38320,36917,36863,35677,35351,36584
"Male","Serious assault","Victims of crime","Kazakhstan",..,..,..,..,..,..,..,..,..,..,..,..,1390,1571,1510,1521,1317,1956,1908,1788
"Male","Serious assault","Victims of crime","Kyrgyzstan",..,..,248,303,292,261,247,249,251,237,234,245,291,285,..,..,..,..,..,..
