"Field of Study","Type of Programme","Sex","Measurement","Country","1990-1991","1995-1996","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006","2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017","2017-2018"
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Lithuania",..,..,135923,148788,167606,182656,195405,198868,199855,204767,210744,201373,187117,175066,159695,148389,140629,133759,125863,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Luxembourg",1298,2003,2533,2965,3077,..,..,2692,..,3011,..,..,5376,6085,6617,6788,6896,6954,7058,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Malta",..,6263,7422,7259,8946,7867,9441,8922,9811,9472,10352,10840,11491,12203,12574,12610,13216,13764,14425,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Montenegro",..,..,8271,7878,8333,9759,11011,12903,16173,19450,22825,23846,25169,25313,24965,26080,26580,24643,25014,23826
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Netherlands",..,..,504042,510843,526767,543396,564983,572147,582613,602286,618502,650905,780014,793678,674752,702183,842601,836946,875455,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","North Macedonia",..,..,40246,44710,45624,46637,49364,48368,58199,65504,65200,61764,67490,63318,60682,60572,63543,..,61488,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Norway",..,..,190054,197064,212395,213845,213940,214711,215237,212672,219282,224706,229743,238224,255416,264207,268231,277449,284042,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Poland",..,..,1774985,1906268,1983360,2044298,2118081,2145687,2146926,2165980,2149998,2148676,2080334,2007212,1902718,1762666,1665305,1600208,1550203,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Portugal",..,319525,387703,393738,400831,395063,380937,367312,366729,376917,373002,383627,396268,390273,360818,362200,337507,343117,346963,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Republic of Moldova",104800,87700,102825,107731,114238,119981,130350,143750,148449,143601,135147,130168,128988,124784,122464,116325,109395,102655,95967,87277
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Romania",192810,336141,533152,582221,643911,685718,738806,834969,928175,1056622,1098188,999523,871842,705333,618157,578706,541653,535218,531586,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Russian Federation",5094500,4714000,7167618,7965217,8592271,8931856,9534921,9684755,9848591,10021350,9909160,9719732,9337378,8732579,8313766,7767588,..,..,..,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Serbia",..,..,194198,182941,202799,209674,224873,235686,238710,237598,235940,226772,228531,231661,238945,242848,241054,..,..,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Slovakia",..,..,143909,152182,158089,164667,181419,197943,217952,229477,234997,234526,226305,221227,209543,197854,184390,167280,156048,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Slovenia",..,..,91494,99214,101458,104396,112228,114794,115944,115445,114391,114873,107134,104003,97706,92769,85616,80798,79547,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Spain",..,..,1833527,1832760,1840607,1839903,1809353,1789254,1777498,1781019,1800834,1878973,1950482,1965829,1969413,1982162,1963924,1968702,2010183,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Sweden",..,..,358020,382851,414657,428642,426723,422614,413710,406879,422580,455025,463530,453328,436603,429444,439815,426188,426354,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Switzerland",137486,148024,163373,170085,185965,195947,199696,204999,213112,224469,233488,248639,257696,269573,279619,289722,294450,295149,300618,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Tajikistan",..,..,78540,85171,97466,108456,119317,133385,147271,155438,157478,159137,153286,194137,194685,209170,224764,..,..,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Turkey",..,..,1091805,1155686,1256629,1972662,2106351,2342898,2453664,2532622,2924281,3529334,3817086,4353542,4975690,5472521,6062886,6689185,7198987,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Turkmenistan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44411,..,..,..,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Ukraine",..,..,1950755,2134676,2296221,2465074,2604875,2740342,2819248,2847713,2798693,2635004,2566279,2390989,2205595,2146028,1776190,..,..,1615290
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","United Kingdom",..,1820849,2067349,2240680,2287833,2247441,2287541,2336108,2362813,2329494,2415223,2479199,2492284,2495780,2386199,2352933,2330334,2387280,2431886,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Uzbekistan",..,..,323211,344604,359708,376904,265957,280837,288550,299010,300782,289208,277437,255932,259592,260453,262368,265680,268281,297689
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Albania",14100,16172,25069,26124,27180,32633,38128,43329,50419,50979,52610,68079,74718,89269,96668,98291,91038,..,..,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Armenia",..,..,53024,58471,60523,64973,68589,74039,78358,81476,83077,82676,79066,67856,63577,63013,59208,60669,..,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Austria",..,..,162769,144816,121778,127206,131144,136240,140125,151771,164060,185907,193033,201192,223280,224470,226737,228708,227452,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Azerbaijan",64342,57738,50203,53661,54117,56431,60131,62450,92635,89827,89456,89245,90065,92481,95844,100685,..,..,..,102248
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Belarus",185132,173946,246071,263272,278862,289517,299984,309293,320022,317320,322636,328463,335472,334512,315399,288657,265504,243966,226360,205903
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Belgium",133339,178833,189813,194843,199796,207756,211974,215784,216315,221043,233037,245759,255564,265070,272169,276979,282046,283066,293031,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Bosnia and Herzegovina",..,..,..,..,..,..,47075,50352,55155,58624,59028,58814,59886,59411,62266,62419,60761,..,..,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Bulgaria",96807,155226,139081,123261,121709,119890,123940,130156,138954,146324,152480,159377,157215,155713,154873,153742,152201,143799,134303,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Croatia",..,42117,54637,59028,64749,67828,72507,73968,75683,78303,76516,83811,88257,89142,92940,93402,91496,92107,93750,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Cyprus",3377,5257,6923,7636,9044,9990,10442,10471,11137,12595,14511,14868,15987,16858,17693,19318,21099,22081,24432,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Czechia",51562,89654,130298,145747,145453,163409,176965,181914,198570,217682,235416,248501,255195,252025,245414,239225,226601,213189,202484,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Denmark",..,..,107740,112226,116844,125628,133376,131302,133684,133804,136609,139665,149213,157861,165690,172754,179071,177460,176256,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Estonia",..,..,34719,37269,39153,40558,41677,42054,41987,42066,42352,42034,41285,39997,37886,35230,32469,30000,28149,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Finland",..,..,150585,153520,156012,160104,163872,166495,167003,167891,160251,163408,166466,165805,165862,164166,162113,158316,157046,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","France",..,..,..,..,..,..,..,1217193,1205255,1194974,1199965,1233760,1238682,1259140,1275557,1302362,1321220,1349543,1379311,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Georgia",68539,81558,68842,74320,75834,78359,87836,76042,73533,70297,52323,58407,60035,55573,63040,66531,68949,71174,73864,74159
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Germany",..,..,1014075,1058896,1109082,1150947,1127168,1137777,1133518,1116184,1253308,1312177,1399089,1471723,1310074,1380533,1427647,1468274,1499669,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Greece",..,..,244413,271230,286091,308697,330440,332340,303867,..,..,319913,..,326026,321569,329740,336075,344203,356960,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Hungary",..,..,181060,195854,221363,241753,254657,256479,251753,239784,225904,219781,213332,211322,198125,182003,167835,160495,155706,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Iceland",..,..,6383,7322,8497,9491,9846,10116,10148,10716,10875,11453,11727,11929,11879,12423,11911,11850,11447,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Ireland",..,..,91158,97173,101155,103941,101823,102589,105043,96795,98483,101638,101553,97981,100622,103032,109264,112404,116073,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Italy",..,..,1014953,1042977,1076253,1116589,1139807,1155491,1163970,1156515,1160486,1141084,1134169,1107337,1068549,1051674,1028882,1016442,1021977,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Kazakhstan",144499,230819,..,..,..,..,..,506263,..,..,..,..,..,458528,435049,402892,365407,..,..,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Kyrgyzstan",..,51303,96780,110875,108720,110868,121828,129862,134290,155892,152420,147030,143030,149741,158800,149618,147826,137648,140931,120881
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Latvia",..,..,63524,67991,73403,79473,82575,83010,82771,82285,79805,70631,63428,57847,55731,51605,51156,49812,48013,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Lithuania",..,..,81336,89947,100609,109578,117493,119157,120011,122660,124836,119653,110379,102313,93249,86175,80966,76071,71164,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Luxembourg",..,..,..,..,..,..,..,..,..,..,..,..,..,..,3389,3486,3516,3545,3590,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Malta",..,..,4068,4131,5094,4397,5319,5089,5635,5484,5852,6107,6493,6850,6982,6918,7388,7505,8061,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Montenegro",..,..,4675,4503,4891,5961,6630,7712,9248,10594,12607,12945,13568,13848,13431,13929,14193,13257,13609,13219
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Netherlands",..,..,254539,259602,268716,276553,288081,293287,300489,311109,320548,337386,404224,408175,347666,360540,440744,434637,457757,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","North Macedonia",..,..,22463,24691,25621,26594,27987,27411,31728,34867,34541,32504,35877,33745,33120,33014,34508,..,34191,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Norway",..,..,112603,117545,126877,127417,127456,128285,129672,129375,133920,136646,138626,143196,150210,152791,155229,161378,165495,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Poland",..,..,1029892,1103711,1146643,1176520,1218072,1231628,1231790,1247193,1244568,1271489,1245414,1201435,1138141,1046582,983174,944675,915380,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Portugal",..,..,221042,223619,226860,221496,212053,202792,197908,201740,199002,204476,211641,208758,191355,193948,179790,182061,184701,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Republic of Moldova",..,48750,57277,61022,64405,68325,76474,82521,85107,83785,77413,73445,73082,69869,67948,65004,61578,57766,53342,48978
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Romania",91021,169064,285305,316443,349673,375691,403697,462740,520709,595369,618096,564003,488037,383134,333226,311256,290671,288432,286636,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Russian Federation",2754100,..,4002050,4519791,4798763,5127008,5367036,5440831,5524871,5626258,5544678,5409060,5176773,4722939,4443564,4084728,..,..,..,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Serbia",..,..,104413,99477,112789,117142,124894,130408,131988,131612,130334,125444,127154,129220,133427,134448,134460,..,..,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Slovakia",..,..,73809,79263,83873,89024,100334,114181,128344,138357,142101,140126,134923,131871,125019,118030,109852,99048,92454,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Slovenia",..,..,51323,57085,57037,59367,64885,67010,67588,67123,66304,66445,64952,60044,56223,54106,49806,46562,45749,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Spain",..,..,961984,974039,978081,990306,972119,963679,960352,962272,974439,1013325,1050922,1053942,1054579,1057361,1043704,1048608,1071776,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Sweden",..,..,211468,227682,247091,255123,254325,251782,247894,245309,254120,270289,273969,270702,260611,255164,253700,253070,253884,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Switzerland",47647,55746,69747,73589,82258,88067,91945,96239,101409,110596,115953,122359,126914,132873,138434,143526,146643,146395,149455,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Tajikistan",..,..,18742,20854,24348,26924,30947,35775,40423,43870,45735,46260,44283,65856,68872,77536,88422,..,..,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Turkey",..,..,441831,474049,507414,816602,881919,992235,1044539,1090900,1274618,1566701,1723602,1978343,2268753,2508079,2786228,3067668,3312880,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Turkmenistan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17112,..,..,..,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Ukraine",..,..,..,..,1235249,1311963,1393427,1467292,1512694,1530697,1513454,1415159,1359142,1249834,1172416,1123819,930197,..,..,834266
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","United Kingdom",..,919116,1127606,1237795,1278980,1282015,1308362,1339172,1352421,1333039,1376060,1402353,1404452,1404400,1338154,1316708,1308441,1346268,1378588,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Female","Students","Uzbekistan",..,..,143342,152013,155446,164231,108374,114815,118162,119212,121707,115692,106954,93887,94680,97073,98437,101331,102457,119180
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Albania",13361,13914,15790,16036,16420,19976,25129,30828,36444,39627,40529,54247,60159,71570,76361,75528,69489,..,..,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Armenia",..,..,37393,41290,44368,43777,46886,53460,57367,59931,63147,63449,62389,53409,52459,50944,47758,47106,..,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Austria",..,..,160423,138664,108024,111315,113266,116899,120850,133020,144090,164283,168764,175306,194948,196755,199235,202417,202919,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Azerbaijan",99559,60367,70490,67814,67039,66339,68503,69057,89302,90471,90820,91482,90992,92353,91746,94716,..,..,..,98361
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Belarus",150162,149039,191924,200272,209788,217843,228524,235035,236871,227114,231424,240309,249374,253446,246769,228921,211717,200031,192385,183424
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Belgium",142909,179381,169452,172139,174736,178354,177573,178643,177372,180609,192182,199550,206855,212642,216319,218931,222699,225204,233729,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Bosnia and Herzegovina",..,..,..,..,..,..,37347,40911,44402,46314,46460,46323,47651,47672,50341,49551,47714,..,..,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Bulgaria",91672,95110,107925,105133,108804,108578,113969,113308,119738,118139,121767,127709,128050,129282,129086,129552,126752,122908,115634,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Croatia",..,44240,49531,53509,56973,58494,62151,62678,64313,65107,62553,56762,65703,68147,71683,71759,70526,69910,71447,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Cyprus",3177,3617,5011,6291,9228,10859,9636,10116,11090,13093,16475,17365,16131,14914,14272,14356,16067,18266,20831,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Czechia",66632,101950,129746,138738,141560,155449,159342,156095,164707,174858,181431,188853,190963,188205,182027,179399,168928,158759,150389,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Denmark",..,..,83051,83015,84902,91502,98879,97591,98510,96903,97965,100871,109719,117148,125457,128645,134685,137362,136123,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Estonia",..,..,23059,23379,24472,25101,26083,26233,26780,26102,26047,26951,27829,27610,26920,24768,22745,21092,19645,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Finland",..,..,129043,130285,135652,139784,142124,142471,142160,141757,136440,140146,141870,143119,143147,141914,140365,138847,138482,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","France",..,..,..,..,..,..,..,984008,974250,969564,972890,1011337,1020766,1037166,1062578,1086518,1102938,1130643,1153520,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Georgia",79852,73475,71785,74822,79619,76699,86419,68949,67770,59629,42902,47289,50522,43803,49706,54392,58684,65535,70473,73626
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Germany",..,..,1069870,1100812,1133315,1179510,1141573,1151688,1145379,1128954,1185292,1243382,1364027,1467740,1469939,1531671,1550134,1574810,1592025,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Greece",..,..,233792,258003,275377,288310,316147,320663,298991,318205,..,321931,334501,337672,337715,347689,354793,365285,378067,..
