country,year,mean_age_of_men_at_first_marriage
Bosnia and Herzegovina,2002,27.9
Bosnia and Herzegovina,2003,28
Bosnia and Herzegovina,2004,28
Bosnia and Herzegovina,2005,28.1
Bosnia and Herzegovina,2006,28.3
Bosnia and Herzegovina,2007,28.3
Bosnia and Herzegovina,2008,28.3
Bosnia and Herzegovina,2009,28.3
Bosnia and Herzegovina,2010,28.9
Bosnia and Herzegovina,2011,29.1
Bosnia and Herzegovina,2012,29.3
Bosnia and Herzegovina,2013,29.6
Bosnia and Herzegovina,2014,29.6
Bosnia and Herzegovina,2015,NA
Bulgaria,1995,26
Bulgaria,2000,28.1
Bulgaria,2001,28.1
Bulgaria,2002,28.1
Bulgaria,2003,28.4
Bulgaria,2004,28.8
Bulgaria,2005,29.1
Bulgaria,2006,29.3
Bulgaria,2007,29
Bulgaria,2008,29.3
Bulgaria,2009,29.6
Bulgaria,2010,30
Bulgaria,2011,30.1
Bulgaria,2012,30.2
Bulgaria,2013,30.3
Bulgaria,2014,30.6
Bulgaria,2015,NA
Croatia,1995,27.8
Croatia,2000,28.6
Croatia,2001,28.6
Croatia,2002,28.8
Croatia,2003,29
Croatia,2004,29.1
Croatia,2005,29.3
Croatia,2006,29.5
Croatia,2007,29.7
Croatia,2008,29.7
Croatia,2009,29.8
Croatia,2010,30.1
Croatia,2011,30.4
Croatia,2012,30
Croatia,2013,31
Croatia,2014,31
Croatia,2015,NA
Cyprus,1995,27.7
Cyprus,2000,28.9
Cyprus,2001,29.3
Cyprus,2002,29.7
Cyprus,2003,29.9
Cyprus,2004,29.3
Cyprus,2005,29.1
Cyprus,2006,30.6
Cyprus,2007,29.6
Cyprus,2008,29.4
Cyprus,2009,29.5
Cyprus,2010,30
Cyprus,2011,30.2
Cyprus,2012,30.3
Cyprus,2013,30.6
Cyprus,2014,30.8
Cyprus,2015,NA
Czechia,1995,26.7
Czechia,2000,28.9
Czechia,2001,29.3
Czechia,2002,29.7
Czechia,2003,30.3
Czechia,2004,30.5
Czechia,2005,30.8
Czechia,2006,31
Czechia,2007,31.2
Czechia,2008,31.4
Czechia,2009,32
Czechia,2010,32.2
Czechia,2011,32.2
Czechia,2012,32.3
Czechia,2013,32.3
Czechia,2014,32.3
Czechia,2015,32.4
Denmark,1995,31.5
Denmark,2000,32.5
Denmark,2001,32.8
Denmark,2002,33.2
Denmark,2003,33.5
Denmark,2004,33.8
Denmark,2005,33.9
Denmark,2006,34
Denmark,2007,34.2
Denmark,2008,34.4
Denmark,2009,34.1
Denmark,2010,34.2
Denmark,2011,34.4
Denmark,2012,34.8
Denmark,2013,34.9
Denmark,2014,34.8
Denmark,2015,34.5
Estonia,1995,25.7
Estonia,2000,27.5
Estonia,2001,27.8
Estonia,2002,28.2
Estonia,2003,28.2
Estonia,2004,28.7
Estonia,2005,28.8
Estonia,2006,29
Estonia,2007,29.4
Estonia,2008,29.6
Estonia,2009,30.1
Estonia,2010,30.4
Estonia,2011,30.8
Estonia,2012,31
Estonia,2013,30.8
Estonia,2014,31.1
Estonia,2015,NA
Finland,1995,29.7
Finland,2000,30.9
Finland,2001,31
Finland,2002,31.4
Finland,2003,31.5
Finland,2004,32.1
Finland,2005,31.8
Finland,2006,32.1
Finland,2007,32.3
Finland,2008,32.5
Finland,2009,32.5
Finland,2010,32.6
Finland,2011,32.9
Finland,2012,33.1
Finland,2013,32.8
Finland,2014,32.9
Finland,2015,33.4
France,1995,28.9
France,2000,30.2
France,2001,30.2
France,2002,30.4
France,2003,30.6
France,2004,30.8
France,2005,31.1
France,2006,31.2
France,2007,31.4
France,2008,31.6
France,2009,31.7
France,2010,31.8
France,2011,NA
France,2012,NA
France,2013,NA
France,2014,NA
France,2015,NA
Georgia,1995,28
Georgia,2000,28.4
Georgia,2001,28.8
Georgia,2002,28.9
Georgia,2003,29
Georgia,2004,29.3
Georgia,2005,29.6
Georgia,2006,29.4
Georgia,2007,29.4
Georgia,2008,28.8
Georgia,2009,28.8
Georgia,2010,29.5
Georgia,2011,29.4
Georgia,2012,29.8
Georgia,2013,30.1
Georgia,2014,29.9
Georgia,2015,NA
Germany,1995,29.7
Germany,2000,31.2
Germany,2001,31.6
Germany,2002,31.8
Germany,2003,32
Germany,2004,32.4
Germany,2005,32.6
Germany,2006,32.6
Germany,2007,32.7
Germany,2008,33
Germany,2009,33.1
Germany,2010,33.2
Germany,2011,33.3
Germany,2012,33.5
Germany,2013,33.6
Germany,2014,33.7
Germany,2015,NA
Greece,1995,28.9
Greece,2000,32.2
Greece,2001,32.3
Greece,2002,32.5
Greece,2003,32.6
Greece,2004,32.7
Greece,2005,32.8
Greece,2006,33.1
Greece,2007,33.2
Greece,2008,33.3
Greece,2009,33.4
Greece,2010,33.5
Greece,2011,33.6
Greece,2012,33.7
Greece,2013,33.7
Greece,2014,33.9
Greece,2015,NA
Hungary,1995,25.5
Hungary,2000,27.2
Hungary,2001,27.8
Hungary,2002,28.2
Hungary,2003,28.6
Hungary,2004,29
Hungary,2005,29.3
Hungary,2006,29.7
Hungary,2007,30.1
Hungary,2008,30.4
Hungary,2009,31
Hungary,2010,31.4
Hungary,2011,31.8
Hungary,2012,31.9
Hungary,2013,32.3
Hungary,2014,32.5
Hungary,2015,NA
Iceland,1995,31.1
Iceland,2000,32.9
Iceland,2001,32.4
Iceland,2002,32.9
Iceland,2003,33
Iceland,2004,33.5
Iceland,2005,33.6
Iceland,2006,33.9
Iceland,2007,34
Iceland,2008,34.1
Iceland,2009,34.3
Iceland,2010,34.2
Iceland,2011,34.6
Iceland,2012,NA
Iceland,2013,NA
Iceland,2014,NA
Iceland,2015,NA
Ireland,1995,30
Ireland,2000,NA
Ireland,2001,NA
Ireland,2002,32.3
Ireland,2003,NA
Ireland,2004,NA
Ireland,2005,32
Ireland,2006,32.1
Ireland,2007,32.3
Ireland,2008,32.5
Ireland,2009,32.7
Ireland,2010,32.8
Ireland,2011,33.2
Ireland,2012,33.3
Ireland,2013,33.6
Ireland,2014,33.7
Ireland,2015,33.9
Italy,1995,29.6
Italy,2000,30.9
Italy,2001,31.3
Italy,2002,31.7
Italy,2003,31.9
Italy,2004,32.1
Italy,2005,32.4
Italy,2006,32.6
Italy,2007,32.7
Italy,2008,32.9
Italy,2009,33.1
Italy,2010,33.4
Italy,2011,33.6
Italy,2012,33.8
Italy,2013,34.2
Italy,2014,34.3
Italy,2015,NA
Kazakhstan,1995,24.6
Kazakhstan,2000,26.2
Kazakhstan,2001,26.4
Kazakhstan,2002,26.6
Kazakhstan,2003,26.7
Kazakhstan,2004,26.9
Kazakhstan,2005,27
Kazakhstan,2006,26.9
Kazakhstan,2007,26.8
Kazakhstan,2008,26.8
Kazakhstan,2009,26.9
Kazakhstan,2010,27
Kazakhstan,2011,26.9
Kazakhstan,2012,26.9
Kazakhstan,2013,27
Kazakhstan,2014,27.1
Kazakhstan,2015,NA
Kyrgyzstan,1995,24.4
Kyrgyzstan,2000,25.6
Kyrgyzstan,2001,25.9
Kyrgyzstan,2002,26.3
Kyrgyzstan,2003,26.4
Kyrgyzstan,2004,26.5
Kyrgyzstan,2005,26.6
Kyrgyzstan,2006,26.8
Kyrgyzstan,2007,26.8
Kyrgyzstan,2008,26.7
Kyrgyzstan,2009,26.8
Kyrgyzstan,2010,26.9
Kyrgyzstan,2011,26.8
Kyrgyzstan,2012,26.8
Kyrgyzstan,2013,26.7
Kyrgyzstan,2014,26.7
Kyrgyzstan,2015,NA
Latvia,1995,25.4
Latvia,2000,26.9
Latvia,2001,27
Latvia,2002,27.5
Latvia,2003,27.5
Latvia,2004,27.8
Latvia,2005,28.2
Latvia,2006,28.4
Latvia,2007,28.5
Latvia,2008,28.8
Latvia,2009,29.3
Latvia,2010,29.4
Latvia,2011,29.7
Latvia,2012,30.1
Latvia,2013,30.4
Latvia,2014,30.8
Latvia,2015,NA
Lithuania,1995,24.3
Lithuania,2000,25.7
Lithuania,2001,26.1
Lithuania,2002,26.4
Lithuania,2003,26.7
Lithuania,2004,26.9
Lithuania,2005,27
Lithuania,2006,27.3
Lithuania,2007,27.7
Lithuania,2008,28
Lithuania,2009,28.5
Lithuania,2010,28.7
Lithuania,2011,28.8
Lithuania,2012,29
Lithuania,2013,29.3
Lithuania,2014,29.5
Lithuania,2015,NA
Luxembourg,1995,28.9
Luxembourg,2000,30.2
Luxembourg,2001,30.6
Luxembourg,2002,30.8
Luxembourg,2003,31
Luxembourg,2004,31.6
Luxembourg,2005,31.6
Luxembourg,2006,32
Luxembourg,2007,32.1
Luxembourg,2008,32.1
Luxembourg,2009,32.3
Luxembourg,2010,32.6
Luxembourg,2011,32.6
Luxembourg,2012,31.9
Luxembourg,2013,32.4
Luxembourg,2014,32.6
Luxembourg,2015,33.3
Malta,1995,28
Malta,2000,28.3
Malta,2001,28.5
Malta,2002,28.9
Malta,2003,29.3
Malta,2004,29.5
Malta,2005,30.4
Malta,2006,29.3
Malta,2007,29.3
Malta,2008,29.6
Malta,2009,29.8
Malta,2010,29.9
Malta,2011,NA
Malta,2012,NA
Malta,2013,NA
Malta,2014,NA
Malta,2015,NA
Montenegro,1995,NA
Montenegro,2000,29.8
Montenegro,2001,29.8
Montenegro,2002,30.3
Montenegro,2003,30
Montenegro,2004,30.1
Montenegro,2005,31
Montenegro,2006,30.8
Montenegro,2007,30
Montenegro,2008,30
Montenegro,2009,30.5
Montenegro,2010,30.8
Montenegro,2011,31
Montenegro,2012,31.2
Montenegro,2013,31
Montenegro,2014,31
Montenegro,2015,NA
Netherlands,1995,29.6
Netherlands,2000,31
Netherlands,2001,31.6
Netherlands,2002,31.6
Netherlands,2003,31.8
Netherlands,2004,32.2
Netherlands,2005,32.4
Netherlands,2006,32.6
Netherlands,2007,32.8
Netherlands,2008,32.9
Netherlands,2009,33
Netherlands,2010,32.8
Netherlands,2011,33
Netherlands,2012,33.1
Netherlands,2013,33.1
Netherlands,2014,33.2
Netherlands,2015,33.5
North Macedonia,1995,26.1
North Macedonia,2000,26.6
North Macedonia,2001,26.8
North Macedonia,2002,26.8
North Macedonia,2003,27.2
North Macedonia,2004,27.4
North Macedonia,2005,27.6
North Macedonia,2006,27.6
North Macedonia,2007,27.7
North Macedonia,2008,27.7
North Macedonia,2009,28
North Macedonia,2010,28
North Macedonia,2011,28.3
North Macedonia,2012,28.4
North Macedonia,2013,28.6
North Macedonia,2014,28.8
North Macedonia,2015,NA
Norway,1995,31.4
Norway,2000,32.2
Norway,2001,32.4
Norway,2002,32.4
Norway,2003,32.6
Norway,2004,32.8
Norway,2005,33
Norway,2006,33.2
Norway,2007,33.2
Norway,2008,33.4
Norway,2009,33.2
Norway,2010,33.2
Norway,2011,33.5
Norway,2012,33.5
Norway,2013,33.6
Norway,2014,33.7
Norway,2015,33.8
Poland,1995,25.1
Poland,2000,25.2
Poland,2001,25.5
Poland,2002,25.8
Poland,2003,26
Poland,2004,26.3
Poland,2005,26.5
Poland,2006,26.8
Poland,2007,27
Poland,2008,27.1
Poland,2009,27.3
Poland,2010,27.5
Poland,2011,27.7
Poland,2012,27.9
Poland,2013,27.9
Poland,2014,28.1
Poland,2015,NA
Portugal,1995,26.8
Portugal,2000,27.5
Portugal,2001,27.8
Portugal,2002,28
Portugal,2003,28.4
Portugal,2004,28.6
Portugal,2005,28.9
Portugal,2006,29.1
Portugal,2007,29.4
Portugal,2008,29.7
Portugal,2009,30.2
Portugal,2010,30.8
Portugal,2011,31.1
Portugal,2012,31.4
Portugal,2013,31.7
Portugal,2014,32.1
Portugal,2015,32.5
Republic of Moldova,1995,24
Republic of Moldova,2000,24.9
Republic of Moldova,2001,25
Republic of Moldova,2002,25.2
Republic of Moldova,2003,25.2
Republic of Moldova,2004,25.4
Republic of Moldova,2005,25.5
Republic of Moldova,2006,25.5
Republic of Moldova,2007,25.7
Republic of Moldova,2008,25.8
Republic of Moldova,2009,26
Republic of Moldova,2010,26
Republic of Moldova,2011,26
Republic of Moldova,2012,26
Republic of Moldova,2013,26
Republic of Moldova,2014,27
Republic of Moldova,2015,NA
Romania,1995,26
Romania,2000,26.9
Romania,2001,27.2
Romania,2002,27.3
Romania,2003,27.7
Romania,2004,28.3
Romania,2005,28.5
Romania,2006,28.6
Romania,2007,29.8
Romania,2008,29.1
Romania,2009,29.1
Romania,2010,29.1
Romania,2011,29.3
Romania,2012,29.6
Romania,2013,29.9
Romania,2014,30.4
Romania,2015,NA
Russian Federation,1995,24.8
Russian Federation,2000,NA
Russian Federation,2001,NA
Russian Federation,2002,NA
Russian Federation,2003,NA
Russian Federation,2004,NA
Russian Federation,2005,NA
Russian Federation,2006,NA
Russian Federation,2007,NA
Russian Federation,2008,NA
Russian Federation,2009,NA
Russian Federation,2010,NA
Russian Federation,2011,NA
Russian Federation,2012,NA
Russian Federation,2013,NA
Russian Federation,2014,NA
Russian Federation,2015,NA
Serbia,1995,27.5
Serbia,2000,28.3
Serbia,2001,28.5
Serbia,2002,28.7
Serbia,2003,28.8
Serbia,2004,29.1
Serbia,2005,29.1
Serbia,2006,29.3
Serbia,2007,29.6
Serbia,2008,29.8
Serbia,2009,30.1
Serbia,2010,30.2
Serbia,2011,30.5
Serbia,2012,30.4
Serbia,2013,30.6
Serbia,2014,30.9
Serbia,2015,NA
Slovakia,1995,NA
Slovakia,2000,26.1
Slovakia,2001,26.3
Slovakia,2002,26.8
Slovakia,2003,27.2
Slovakia,2004,27.6
Slovakia,2005,28.2
Slovakia,2006,28.5
Slovakia,2007,28.6
Slovakia,2008,28.9
Slovakia,2009,29.2
Slovakia,2010,29.5
Slovakia,2011,29.9
Slovakia,2012,30.1
Slovakia,2013,30.7
Slovakia,2014,31
Slovakia,2015,NA
Slovenia,1995,27.9
Slovenia,2000,29.6
Slovenia,2001,30.1
Slovenia,2002,30.1
Slovenia,2003,30.1
Slovenia,2004,30.3
Slovenia,2005,30.6
Slovenia,2006,30.6
Slovenia,2007,30.9
Slovenia,2008,30.9
Slovenia,2009,30.7
Slovenia,2010,31.2
Slovenia,2011,31.4
Slovenia,2012,31.5
Slovenia,2013,31.6
Slovenia,2014,31.6
Slovenia,2015,NA
Spain,1995,29.1
Spain,2000,30.1
Spain,2001,30.3
Spain,2002,30.5
Spain,2003,30.8
Spain,2004,31.1
Spain,2005,31.5
Spain,2006,31.9
Spain,2007,32
Spain,2008,32.2
Spain,2009,32.5
Spain,2010,32.9
Spain,2011,33.3
Spain,2012,33.5
Spain,2013,34
Spain,2014,34.1
Spain,2015,NA
Sweden,1995,31.5
Sweden,2000,33.1
Sweden,2001,33.2
Sweden,2002,33.5
Sweden,2003,34
Sweden,2004,34.4
Sweden,2005,34.7
Sweden,2006,34.5
Sweden,2007,34.9
Sweden,2008,35.1
Sweden,2009,35.1
Sweden,2010,35.5
Sweden,2011,35.6
Sweden,2012,35.9
Sweden,2013,35.6
Sweden,2014,35.7
Sweden,2015,36
Switzerland,1995,29.7
Switzerland,2000,30.3
Switzerland,2001,30.4
Switzerland,2002,30.5
Switzerland,2003,30.6
Switzerland,2004,30.8
Switzerland,2005,31
Switzerland,2006,31
Switzerland,2007,31.2
Switzerland,2008,31.4
Switzerland,2009,31.5
Switzerland,2010,31.6
Switzerland,2011,31.8
Switzerland,2012,31.7
Switzerland,2013,31.8
Switzerland,2014,31.8
Switzerland,2015,NA
Tajikistan,1995,23.9
Tajikistan,2000,24.7
Tajikistan,2001,25.1
Tajikistan,2002,25.5
Tajikistan,2003,25.7
Tajikistan,2004,26.4
Tajikistan,2005,26.7
Tajikistan,2006,27
Tajikistan,2007,26.4
Tajikistan,2008,26.2
Tajikistan,2009,25.9
Tajikistan,2010,26.3
Tajikistan,2011,26.7
Tajikistan,2012,26.7
Tajikistan,2013,25.7
Tajikistan,2014,26.2
Tajikistan,2015,NA
Turkey,1995,NA
Turkey,2000,NA
Turkey,2001,25.5
Turkey,2002,25.9
Turkey,2003,25.9
Turkey,2004,26
Turkey,2005,26.1
Turkey,2006,26.1
Turkey,2007,26.1
Turkey,2008,26.2
Turkey,2009,26.3
Turkey,2010,26.5
Turkey,2011,26.6
Turkey,2012,26.7
Turkey,2013,NA
Turkey,2014,NA
Turkey,2015,NA
Turkmenistan,1995,23.4
Turkmenistan,2000,24.1
Turkmenistan,2001,24.2
Turkmenistan,2002,24.2
Turkmenistan,2003,24.4
Turkmenistan,2004,24.6
Turkmenistan,2005,24.6
Turkmenistan,2006,24.6
Turkmenistan,2007,NA
Turkmenistan,2008,NA
Turkmenistan,2009,NA
Turkmenistan,2010,NA
Turkmenistan,2011,NA
Turkmenistan,2012,NA
Turkmenistan,2013,NA
Turkmenistan,2014,NA
Turkmenistan,2015,NA
Ukraine,1995,24.1
Ukraine,2000,25.2
Ukraine,2001,25.4
Ukraine,2002,25.5
Ukraine,2003,25.5
Ukraine,2004,25.8
Ukraine,2005,25.9
Ukraine,2006,25.9
Ukraine,2007,26.9
Ukraine,2008,27
Ukraine,2009,27
Ukraine,2010,27.1
Ukraine,2011,26.8
Ukraine,2012,27
Ukraine,2013,27
Ukraine,2014,27.4
Ukraine,2015,NA
United Kingdom,1995,28.9
United Kingdom,2000,30.5
United Kingdom,2001,30.6
United Kingdom,2002,30.9
United Kingdom,2003,31.2
United Kingdom,2004,31.4
United Kingdom,2005,31.7
United Kingdom,2006,31.8
United Kingdom,2007,32
United Kingdom,2008,32.1
United Kingdom,2009,32.1
United Kingdom,2010,32.1
United Kingdom,2011,32.2
United Kingdom,2012,32.4
United Kingdom,2013,32.5
United Kingdom,2014,NA
United Kingdom,2015,NA
Uzbekistan,1995,23.4
Uzbekistan,2000,24.2
Uzbekistan,2001,24.3
Uzbekistan,2002,24.4
Uzbekistan,2003,24.6
Uzbekistan,2004,24.8
Uzbekistan,2005,25
Uzbekistan,2006,25.2
Uzbekistan,2007,25.4
Uzbekistan,2008,25.6
Uzbekistan,2009,25.5
Uzbekistan,2010,25.6
Uzbekistan,2011,25.8
Uzbekistan,2012,25.7
Uzbekistan,2013,25.9
Uzbekistan,2014,25.8
Uzbekistan,2015,NA
